set_,metric,score,epoch
validation,true_positives,0.0,0
validation,false_positives,0.0,0
validation,true_negatives,0.0,0
validation,false_negatives,0.0,0
validation,rmse,29.979773180836418,0
training,true_positives,0.0,0
training,false_positives,0.0,0
training,true_negatives,0.0,0
training,false_negatives,0.0,0
training,rmse,41.45453398757376,0
validation,true_positives,0.0,1
validation,false_positives,0.0,1
validation,true_negatives,0.0,1
validation,false_negatives,0.0,1
validation,rmse,29.867418574919885,1
training,true_positives,0.0,1
training,false_positives,0.0,1
training,true_negatives,0.0,1
training,false_negatives,0.0,1
training,rmse,35.80578654850426,1
