set_,metric,score,epoch
validation,true_positives,0.0,0
validation,false_positives,0.0,0
validation,true_negatives,0.0,0
validation,false_negatives,0.0,0
validation,rmse,30.122250850562594,0
training,true_positives,0.0,0
training,false_positives,0.0,0
training,true_negatives,0.0,0
training,false_negatives,0.0,0
training,rmse,46.94110123966562,0
validation,true_positives,0.0,1
validation,false_positives,0.0,1
validation,true_negatives,0.0,1
validation,false_negatives,0.0,1
validation,rmse,26.611072756929552,1
training,true_positives,0.0,1
training,false_positives,0.0,1
training,true_negatives,0.0,1
training,false_negatives,0.0,1
training,rmse,38.46881711834969,1
validation,true_positives,0.0,2
validation,false_positives,0.0,2
validation,true_negatives,0.0,2
validation,false_negatives,0.0,2
validation,rmse,28.19033970425986,2
training,true_positives,0.0,2
training,false_positives,0.0,2
training,true_negatives,0.0,2
training,false_negatives,0.0,2
training,rmse,44.679486614357295,2
validation,true_positives,0.0,3
validation,false_positives,0.0,3
validation,true_negatives,0.0,3
validation,false_negatives,0.0,3
validation,rmse,31.983128578999292,3
training,true_positives,0.0,3
training,false_positives,0.0,3
training,true_negatives,0.0,3
training,false_negatives,0.0,3
training,rmse,52.132289439002115,3
validation,true_positives,0.0,4
validation,false_positives,0.0,4
validation,true_negatives,0.0,4
validation,false_negatives,0.0,4
validation,rmse,26.480837993914417,4
training,true_positives,0.0,4
training,false_positives,0.0,4
training,true_negatives,0.0,4
training,false_negatives,0.0,4
training,rmse,32.09473111489637,4
validation,true_positives,0.0,5
validation,false_positives,0.0,5
validation,true_negatives,0.0,5
validation,false_negatives,0.0,5
validation,rmse,27.056752214595182,5
training,true_positives,0.0,5
training,false_positives,0.0,5
training,true_negatives,0.0,5
training,false_negatives,0.0,5
training,rmse,43.21525539013237,5
validation,true_positives,0.0,6
validation,false_positives,0.0,6
validation,true_negatives,0.0,6
validation,false_negatives,0.0,6
validation,rmse,26.55745068371837,6
training,true_positives,0.0,6
training,false_positives,0.0,6
training,true_negatives,0.0,6
training,false_negatives,0.0,6
training,rmse,43.75481404390702,6
validation,true_positives,0.0,7
validation,false_positives,0.0,7
validation,true_negatives,0.0,7
validation,false_negatives,0.0,7
validation,rmse,25.74424190650364,7
training,true_positives,0.0,7
training,false_positives,0.0,7
training,true_negatives,0.0,7
training,false_negatives,0.0,7
training,rmse,34.803948802388035,7
validation,true_positives,0.0,8
validation,false_positives,0.0,8
validation,true_negatives,0.0,8
validation,false_negatives,0.0,8
validation,rmse,26.821144268143378,8
training,true_positives,0.0,8
training,false_positives,0.0,8
training,true_negatives,0.0,8
training,false_negatives,0.0,8
training,rmse,44.027023134267935,8
validation,true_positives,0.0,9
validation,false_positives,0.0,9
validation,true_negatives,0.0,9
validation,false_negatives,0.0,9
validation,rmse,25.9713216822374,9
training,true_positives,0.0,9
training,false_positives,0.0,9
training,true_negatives,0.0,9
training,false_negatives,0.0,9
training,rmse,43.247931387904295,9
validation,true_positives,0.0,10
validation,false_positives,0.0,10
validation,true_negatives,0.0,10
validation,false_negatives,0.0,10
validation,rmse,25.817528819309004,10
training,true_positives,0.0,10
training,false_positives,0.0,10
training,true_negatives,0.0,10
training,false_negatives,0.0,10
training,rmse,35.954790021485145,10
validation,true_positives,0.0,11
validation,false_positives,0.0,11
validation,true_negatives,0.0,11
validation,false_negatives,0.0,11
validation,rmse,26.796041987506197,11
training,true_positives,0.0,11
training,false_positives,0.0,11
training,true_negatives,0.0,11
training,false_negatives,0.0,11
training,rmse,43.224806293041205,11
validation,true_positives,0.0,12
validation,false_positives,0.0,12
validation,true_negatives,0.0,12
validation,false_negatives,0.0,12
validation,rmse,27.90199251637031,12
training,true_positives,0.0,12
training,false_positives,0.0,12
training,true_negatives,0.0,12
training,false_negatives,0.0,12
training,rmse,46.68177368745435,12
validation,true_positives,0.0,13
validation,false_positives,0.0,13
validation,true_negatives,0.0,13
validation,false_negatives,0.0,13
validation,rmse,27.647882198113376,13
training,true_positives,0.0,13
training,false_positives,0.0,13
training,true_negatives,0.0,13
training,false_negatives,0.0,13
training,rmse,45.1392892153063,13
validation,true_positives,0.0,14
validation,false_positives,0.0,14
validation,true_negatives,0.0,14
validation,false_negatives,0.0,14
validation,rmse,26.650847448200537,14
training,true_positives,0.0,14
training,false_positives,0.0,14
training,true_negatives,0.0,14
training,false_negatives,0.0,14
training,rmse,45.97958327990318,14
validation,true_positives,0.0,15
validation,false_positives,0.0,15
validation,true_negatives,0.0,15
validation,false_negatives,0.0,15
validation,rmse,26.10369027420071,15
training,true_positives,0.0,15
training,false_positives,0.0,15
training,true_negatives,0.0,15
training,false_negatives,0.0,15
training,rmse,38.11580818478339,15
validation,true_positives,0.0,16
validation,false_positives,0.0,16
validation,true_negatives,0.0,16
validation,false_negatives,0.0,16
validation,rmse,26.185203915858615,16
training,true_positives,0.0,16
training,false_positives,0.0,16
training,true_negatives,0.0,16
training,false_negatives,0.0,16
training,rmse,34.89114379803761,16
validation,true_positives,0.0,17
validation,false_positives,0.0,17
validation,true_negatives,0.0,17
validation,false_negatives,0.0,17
validation,rmse,26.385089880486824,17
training,true_positives,0.0,17
training,false_positives,0.0,17
training,true_negatives,0.0,17
training,false_negatives,0.0,17
training,rmse,44.15447510427469,17
validation,true_positives,0.0,18
validation,false_positives,0.0,18
validation,true_negatives,0.0,18
validation,false_negatives,0.0,18
validation,rmse,25.763235627841887,18
training,true_positives,0.0,18
training,false_positives,0.0,18
training,true_negatives,0.0,18
training,false_negatives,0.0,18
training,rmse,39.60904816575863,18
validation,true_positives,0.0,19
validation,false_positives,0.0,19
validation,true_negatives,0.0,19
validation,false_negatives,0.0,19
validation,rmse,25.666127390194227,19
training,true_positives,0.0,19
training,false_positives,0.0,19
training,true_negatives,0.0,19
training,false_negatives,0.0,19
training,rmse,36.13601969628307,19
validation,true_positives,0.0,20
validation,false_positives,0.0,20
validation,true_negatives,0.0,20
validation,false_negatives,0.0,20
validation,rmse,27.382551847336504,20
training,true_positives,0.0,20
training,false_positives,0.0,20
training,true_negatives,0.0,20
training,false_negatives,0.0,20
training,rmse,43.79151500872415,20
validation,true_positives,0.0,21
validation,false_positives,0.0,21
validation,true_negatives,0.0,21
validation,false_negatives,0.0,21
validation,rmse,25.853541923589848,21
training,true_positives,0.0,21
training,false_positives,0.0,21
training,true_negatives,0.0,21
training,false_negatives,0.0,21
training,rmse,44.01682394044196,21
validation,true_positives,0.0,22
validation,false_positives,0.0,22
validation,true_negatives,0.0,22
validation,false_negatives,0.0,22
validation,rmse,25.781584168841366,22
training,true_positives,0.0,22
training,false_positives,0.0,22
training,true_negatives,0.0,22
training,false_negatives,0.0,22
training,rmse,43.1042902081814,22
validation,true_positives,0.0,23
validation,false_positives,0.0,23
validation,true_negatives,0.0,23
validation,false_negatives,0.0,23
validation,rmse,25.45378386947266,23
training,true_positives,0.0,23
training,false_positives,0.0,23
training,true_negatives,0.0,23
training,false_negatives,0.0,23
training,rmse,41.233574140997256,23
validation,true_positives,0.0,24
validation,false_positives,0.0,24
validation,true_negatives,0.0,24
validation,false_negatives,0.0,24
validation,rmse,26.471194345922147,24
training,true_positives,0.0,24
training,false_positives,0.0,24
training,true_negatives,0.0,24
training,false_negatives,0.0,24
training,rmse,45.7716584204892,24
validation,true_positives,0.0,25
validation,false_positives,0.0,25
validation,true_negatives,0.0,25
validation,false_negatives,0.0,25
validation,rmse,26.072490771768035,25
training,true_positives,0.0,25
training,false_positives,0.0,25
training,true_negatives,0.0,25
training,false_negatives,0.0,25
training,rmse,40.95972885643007,25
validation,true_positives,0.0,26
validation,false_positives,0.0,26
validation,true_negatives,0.0,26
validation,false_negatives,0.0,26
validation,rmse,25.556990145923557,26
training,true_positives,0.0,26
training,false_positives,0.0,26
training,true_negatives,0.0,26
training,false_negatives,0.0,26
training,rmse,39.60281877704413,26
validation,true_positives,0.0,27
validation,false_positives,0.0,27
validation,true_negatives,0.0,27
validation,false_negatives,0.0,27
validation,rmse,25.50325285217379,27
training,true_positives,0.0,27
training,false_positives,0.0,27
training,true_negatives,0.0,27
training,false_negatives,0.0,27
training,rmse,39.46757678346309,27
validation,true_positives,0.0,28
validation,false_positives,0.0,28
validation,true_negatives,0.0,28
validation,false_negatives,0.0,28
validation,rmse,26.02459462049327,28
training,true_positives,0.0,28
training,false_positives,0.0,28
training,true_negatives,0.0,28
training,false_negatives,0.0,28
training,rmse,37.814049636776055,28
validation,true_positives,0.0,29
validation,false_positives,0.0,29
validation,true_negatives,0.0,29
validation,false_negatives,0.0,29
validation,rmse,25.42944154177552,29
training,true_positives,0.0,29
training,false_positives,0.0,29
training,true_negatives,0.0,29
training,false_negatives,0.0,29
training,rmse,40.54678333528271,29
validation,true_positives,0.0,30
validation,false_positives,0.0,30
validation,true_negatives,0.0,30
validation,false_negatives,0.0,30
validation,rmse,25.943150787638444,30
training,true_positives,0.0,30
training,false_positives,0.0,30
training,true_negatives,0.0,30
training,false_negatives,0.0,30
training,rmse,42.43842489686152,30
validation,true_positives,0.0,31
validation,false_positives,0.0,31
validation,true_negatives,0.0,31
validation,false_negatives,0.0,31
validation,rmse,25.762892185164365,31
training,true_positives,0.0,31
training,false_positives,0.0,31
training,true_negatives,0.0,31
training,false_negatives,0.0,31
training,rmse,39.85015423664442,31
validation,true_positives,0.0,32
validation,false_positives,0.0,32
validation,true_negatives,0.0,32
validation,false_negatives,0.0,32
validation,rmse,25.780336645838773,32
training,true_positives,0.0,32
training,false_positives,0.0,32
training,true_negatives,0.0,32
training,false_negatives,0.0,32
training,rmse,40.322842515846396,32
validation,true_positives,0.0,33
validation,false_positives,0.0,33
validation,true_negatives,0.0,33
validation,false_negatives,0.0,33
validation,rmse,26.473774885014908,33
training,true_positives,0.0,33
training,false_positives,0.0,33
training,true_negatives,0.0,33
training,false_negatives,0.0,33
training,rmse,38.44792455702475,33
validation,true_positives,0.0,34
validation,false_positives,0.0,34
validation,true_negatives,0.0,34
validation,false_negatives,0.0,34
validation,rmse,25.9053114290958,34
training,true_positives,0.0,34
training,false_positives,0.0,34
training,true_negatives,0.0,34
training,false_negatives,0.0,34
training,rmse,39.32235123188165,34
validation,true_positives,0.0,35
validation,false_positives,0.0,35
validation,true_negatives,0.0,35
validation,false_negatives,0.0,35
validation,rmse,26.108315462821334,35
training,true_positives,0.0,35
training,false_positives,0.0,35
training,true_negatives,0.0,35
training,false_negatives,0.0,35
training,rmse,40.818556669141756,35
validation,true_positives,0.0,36
