,metric,value,fold,target
0,MSE,0.02032029628753662,1,AR
1,MAE,0.11088428646326065,1,AR
2,MdAE,0.101389080286026,1,AR
3,ACPER,0.021791767554479417,1,AR
4,MAPE,60438.046875,1,AR
5,RMSE,0.1425492763519287,1,AR
6,MSE,0.021662607789039612,2,AR
7,MAE,0.11431074142456055,2,AR
8,MdAE,0.10574247688055038,2,AR
9,ACPER,0.05084745762711865,2,AR
10,MAPE,13287.0849609375,2,AR
11,RMSE,0.14718222618103027,2,AR
12,MSE,0.018925759941339493,3,AR
13,MAE,0.11090593785047531,3,AR
14,MdAE,0.10201318562030792,3,AR
15,ACPER,0.03268765133171913,3,AR
16,MAPE,71519.671875,3,AR
17,RMSE,0.13757093250751495,3,AR
18,MSE,0.017677878960967064,4,AR
19,MAE,0.10593285411596298,4,AR
20,MdAE,0.10133450478315353,4,AR
21,ACPER,0.03636363636363636,4,AR
22,MAPE,inf,4,AR
23,RMSE,0.13295818865299225,4,AR
24,MSE,0.02247641421854496,5,AR
25,MAE,0.11375806480646133,5,AR
26,MdAE,0.09836246818304062,5,AR
27,ACPER,0.03515151515151515,5,AR
28,MAPE,13918.1796875,5,AR
29,RMSE,0.14992135763168335,5,AR
