,0
0,-0.8402382
1,-0.9999881
2,-0.63231534
3,0.7715496
4,-0.91326874
5,-0.830776
6,0.8119609
7,0.78246087
8,0.73027766
9,-0.37469667
10,-0.983323
11,-0.8809222
12,0.68962157
13,-0.980971
14,-0.670522
15,-0.98434037
16,0.83093584
17,0.8261521
18,0.4697857
19,-0.9932628
20,-0.9743006
21,0.8131588
22,-0.7899502
23,-0.84282553
24,0.81511223
25,-0.9923559
26,0.8223655
27,-0.14506498
28,-0.77883327
29,-0.8657573
30,-0.7127756
31,-0.85351336
32,-0.91253006
33,-0.9583295
34,-0.9845197
35,-0.97139114
36,-0.7236182
37,-0.99758106
38,-0.901721
39,-0.9557562
40,-0.99897987
41,-0.9184921
42,-0.9260741
43,-0.966781
44,-0.7412077
45,-0.9963574
46,-0.99885225
47,-0.990854
48,-0.93312764
49,-0.9250358
50,-0.9991261
51,-0.96836686
52,-0.94655746
53,-0.9756045
54,-0.7890508
55,-0.98300576
56,-0.9839839
57,-0.77862865
58,-0.9317474
59,-0.9482992
60,-0.6898499
61,-0.90019876
62,-0.92513806
63,-0.9057979
64,-0.9432663
65,-0.98502815
66,-0.93597096
67,-0.99645567
68,-0.8136999
69,-0.7847912
70,-0.9537923
71,-0.9999339
72,-0.8525267
73,-0.95327383
74,-0.5858249
75,-0.7625918
76,-0.99794817
77,-0.9276573
78,-0.8095856
79,-0.99340767
80,-0.9900622
81,-0.8481893
82,-0.9592353
83,-0.9977787
84,-0.9048543
85,-0.97469527
86,-0.59520453
87,-0.86870354
88,-0.5623171
89,-0.88177854
90,-0.9765335
91,-0.999687
92,-0.9198651
93,-0.9480125
94,-0.961544
95,-0.8070136
96,-0.9568399
97,-0.8569965
98,-0.80631435
99,-0.81025314
100,-0.91568255
101,-0.94762605
102,-0.8749963
103,-0.770621
104,-0.9527702
105,-0.97214556
106,-0.89340526
107,-0.86014104
108,-0.9310707
109,-0.94932437
110,-0.85193074
111,-0.95701915
112,-0.83628374
113,-0.7884911
114,-0.999967
115,-0.9803696
116,-0.72645175
117,-0.9489159
118,-0.77572966
119,-0.98520136
120,-0.7984318
121,-0.99755925
122,-0.866431
123,-0.83377343
124,-0.9980144
125,-0.9916307
126,-0.9441824
127,-0.95475614
128,-0.9501513
129,-0.9070641
130,-0.8414482
131,-0.9849579
132,-0.9999778
133,-0.8428439
134,-0.8176211
135,-0.7143404
136,-0.9997403
137,-0.9936187
138,-0.9920652
139,-0.9914229
140,-0.779738
141,-0.9450481
142,-0.98732555
143,-0.99709046
144,-0.83405024
145,-0.9458006
146,-0.8135098
147,-0.98552555
148,-0.99012136
149,-0.93277895
150,-0.9647833
151,-0.83583057
152,-0.9936888
153,-0.99803984
154,-0.99729383
155,-0.9913997
156,-0.95377874
157,-0.98845726
158,-0.9997107
159,-0.9953914
160,-0.906915
161,-0.9982066
162,-0.8282876
163,-0.8794195
164,-0.99033
165,-0.9653879
166,-0.9840533
167,-0.9883003
168,-0.94311166
169,-0.87968725
170,-0.9805471
171,-0.9779121
172,-0.9866144
173,-0.9008538
174,-0.9937232
175,-0.999995
176,-0.9997722
177,-0.81855553
178,-0.9391713
179,-0.9999888
180,-0.9867767
181,-0.93329614
182,-0.98052806
183,-0.99540776
184,-0.99862206
185,-0.99417
186,-0.986909
187,-0.70112544
188,-0.8135375
189,-0.99999976
190,-0.9953631
191,-0.999033
192,-0.76807016
193,-0.9677341
194,-0.9924744
195,-0.9905188
196,-0.9505637
197,-0.99995404
198,-0.99528784
199,-0.99463
200,-0.99987954
201,-0.82970184
202,-0.90895724
203,-0.94013244
204,-0.8681015
205,-0.9999022
206,-0.83156407
207,-0.98643893
208,-0.99766177
209,-0.99092126
210,-0.92878896
211,-0.96272284
212,-0.99898416
213,-0.9967707
214,-0.99996763
215,-0.97908473
216,-0.9999927
217,-0.9821629
218,-0.9563497
219,-0.9984005
220,-0.9957641
221,-0.8302712
222,-0.9415246
223,-0.99997276
224,-0.96992594
225,-0.97224206
226,-0.86682004
227,-0.9877173
228,-0.99430865
229,-0.963442
230,-0.9998005
231,-0.96869797
232,-0.9708931
233,-0.99322534
234,-0.9885396
235,-0.8716728
236,-0.997473
237,-0.9947442
238,-0.984401
239,-0.7973994
240,-0.96889156
241,-0.98449624
242,-0.9663746
243,-0.9986465
244,-0.9881544
245,-0.84968406
246,-0.99006927
247,-0.831864
248,-0.99844545
249,-0.99991614
250,-0.96925193
251,-0.9876837
252,-0.98099864
253,-0.9984574
254,1.0
255,-0.8639912
256,-0.78336936
257,-0.97190714
258,-0.09736439
259,-0.5918454
260,-0.999592
261,-0.9890205
262,-0.9999461
263,-0.9979764
264,-0.4712584
265,-0.99224365
266,-0.7162733
267,-0.9910628
268,-0.98606914
269,-0.9969751
270,-0.9987596
271,-0.7845837
272,-0.9940159
273,-0.15696958
274,-0.8543437
275,-0.8322557
276,-0.7666562
277,-0.99912953
278,-0.9998343
279,-0.99854785
280,-0.99915886
281,-0.9985685
282,-0.99425614
283,-0.988211
284,-0.9955022
285,-0.9980833
286,-0.9407131
287,-0.99867165
288,-0.13145395
289,-0.99937993
290,-0.9997798
291,-0.95132685
292,-0.9569421
293,-0.99731356
294,-0.8377339
295,-0.998006
296,-0.8353991
297,-0.84312415
298,-0.6330353
299,-0.9434981
300,-0.6616173
301,-0.9980064
302,-0.99997824
303,-0.9992549
304,-0.9986973
305,-0.6988333
306,-0.99849087
307,-0.54404527
308,-0.9999863
309,-0.77979773
310,-0.945905
311,-0.74247235
312,-0.858373
313,-0.59468275
314,-0.925279
315,-0.4480501
316,-0.47223532
317,-0.3964871
318,-0.43509296
319,-0.17838693
320,-0.56397
321,-0.69532037
322,-0.99138534
323,-0.71781385
324,-0.8818362
325,-0.48866144
326,-0.17974885
327,-0.41135302
328,-0.696352
329,-0.3949706
330,-0.44138634
331,-0.48547503
332,-0.8505835
333,-0.861124
334,-0.9960869
335,-0.20610216
336,-0.99981946
337,-0.7169348
338,-0.6941522
339,-0.3112339
340,-0.32924053
341,-0.698168
342,-0.41722268
343,-0.91460174
344,-0.35566044
345,-0.47080317
346,-0.3628236
347,-0.8275172
348,-0.7754939
349,-0.96672463
350,-0.5132618
351,-0.38459632
352,-0.16614641
353,-0.210823
354,-0.98860073
355,-0.90125
356,-0.47540617
357,-0.11580913
358,-0.77921873
359,-0.28557006
360,-0.86814487
361,-0.13467719
362,-0.9999981
363,-0.701849
364,-0.70010585
365,-0.6320869
366,-0.33289453
367,-0.48540923
368,-0.3288295
369,-0.46173313
370,-0.26658493
371,-0.7530578
372,-0.8842708
373,-0.47775957
374,-0.31418067
375,-0.9861641
376,-0.999984
377,-0.99934536
378,-0.9913155
379,-0.6461786
380,-0.32093468
381,-0.7815439
382,-0.7690739
383,-0.4589003
384,-0.99999976
385,-0.99999774
386,-0.9999955
387,-0.48018423
388,-0.8761703
389,-0.74280536
390,-0.97113514
391,-0.7659615
392,-0.45649174
393,-0.7043011
394,-0.8859393
395,-0.88984376
396,-0.99999917
397,-0.9999994
398,-0.8189089
399,-0.7660248
400,-0.8387831
401,-0.8608646
402,-0.85403764
403,-0.99833316
