,metric,value,fold,target
0,MSE,0.07904311269521713,1,AR
1,MAE,0.21950286626815796,1,AR
2,MdAE,0.1817948967218399,1,AR
3,ACPER,0.0,1,AR
4,MAPE,-0.5191218256950378,1,AR
5,RMSE,0.2811460793018341,1,AR
6,MSE,0.07865839451551437,2,AR
7,MAE,0.2184446007013321,2,AR
8,MdAE,0.18864455819129944,2,AR
9,ACPER,0.0,2,AR
10,MAPE,-0.5374346375465393,2,AR
11,RMSE,0.28046104311943054,2,AR
12,MSE,0.07464175671339035,3,AR
13,MAE,0.22295241057872772,3,AR
14,MdAE,0.20067252218723297,3,AR
15,ACPER,0.0,3,AR
16,MAPE,-0.587459921836853,3,AR
17,RMSE,0.2732064425945282,3,AR
18,MSE,0.06847532093524933,4,AR
19,MAE,0.2153405398130417,4,AR
20,MdAE,0.19449007511138916,4,AR
21,ACPER,0.0,4,AR
22,MAPE,-0.5102534890174866,4,AR
23,RMSE,0.26167789101600647,4,AR
24,MSE,0.07964424043893814,5,AR
25,MAE,0.22131183743476868,5,AR
26,MdAE,0.19666478037834167,5,AR
27,ACPER,0.0,5,AR
28,MAPE,-0.4861610233783722,5,AR
29,RMSE,0.28221312165260315,5,AR
