,0
0,-0.8402382
1,-0.99765104
2,-0.63231534
3,-0.91326874
4,-0.830776
5,0.8119609
6,0.78246087
7,0.73027766
8,-0.37469667
9,-0.8809222
10,0.60781324
11,0.68962157
12,-0.980971
13,-0.98434037
14,0.7749281
15,0.8324935
16,-0.5048187
17,0.8261521
18,0.4697857
19,-0.9932628
20,-0.9743006
21,0.8131588
22,-0.7899502
23,-0.84282553
24,0.81511223
25,-0.9923559
26,0.8223655
27,-0.14506498
28,-0.77883327
29,-0.9545887
30,-0.89049774
31,-0.9583295
32,-0.9845197
33,-0.97139114
34,-0.7236182
35,-0.99758106
36,-0.901721
37,-0.99897987
38,-0.9184921
39,-0.9995246
40,-0.966781
41,-0.7412077
42,-0.9997049
43,-0.9963574
44,-0.99885225
45,-0.990854
46,-0.98327637
47,-0.93312764
48,-0.9250358
49,-0.9991261
50,-0.96836686
51,-0.94655746
52,-0.9756045
53,-0.98300576
54,-0.9839839
55,-0.77862865
56,-0.9317474
57,-0.9482992
58,-0.6898499
59,-0.7880947
60,-0.9021598
61,-0.90019876
62,-0.92513806
63,-0.9432663
64,-0.98502815
65,-0.93597096
66,-0.99645567
67,-0.8136999
68,-0.7847912
69,-0.9537923
70,-0.9419101
71,-0.84960306
72,-0.8444646
73,-0.9999339
74,-0.8525267
75,-0.95327383
76,-0.99794817
77,-0.9276573
78,-0.8095856
79,-0.99340767
80,-0.8481893
81,-0.9592353
82,-0.9048543
83,-0.97469527
84,-0.59520453
85,-0.86870354
86,-0.88177854
87,-0.9835315
88,-0.9765335
89,-0.999687
90,-0.9198651
91,-0.9480125
92,-0.961544
93,-0.8070136
94,-0.9568399
95,-0.91601795
96,-0.9052612
97,-0.81025314
98,-0.91568255
99,-0.8749963
100,-0.770621
101,-0.97214556
102,-0.89340526
103,-0.86014104
104,-0.9310707
105,-0.98383844
106,-0.85193074
107,-0.83628374
108,-0.7884911
109,-0.9803696
110,-0.72645175
111,-0.9489159
112,-0.77572966
113,-0.98520136
114,-0.7984318
115,-0.9206789
116,-0.99755925
117,-0.98723406
118,-0.83377343
119,-0.9080359
120,-0.9916307
121,-0.9441824
122,-0.95475614
123,-0.9501513
124,-0.99921906
125,-0.9070641
126,-0.9999778
127,-0.8428439
128,-0.8176211
129,-0.9978245
130,-0.7071872
131,-0.9936187
132,-0.9920652
133,-0.9914229
134,-0.779738
135,-0.9450481
136,-0.98732555
137,-0.99709046
138,-0.9606339
139,-0.83405024
140,-0.9458006
141,-0.98552555
142,-0.99012136
143,-0.93277895
144,-0.9647833
145,-0.83583057
146,-0.9936888
147,-0.99803984
148,-0.9913997
149,-0.95377874
150,-0.98845726
151,-0.9997107
152,-0.98023385
153,-0.906915
154,-0.9982066
155,-0.99033
156,-0.9653879
157,-0.9840533
158,-0.9883003
159,-0.94311166
160,-0.87968725
161,-0.9779121
162,-0.9866144
163,-0.9997722
164,-0.81855553
165,-0.9391713
166,-0.8922412
167,-0.9867767
168,-0.93329614
169,-0.98052806
170,-0.99540776
171,-0.99862206
172,-0.9800416
173,-0.99417
174,-0.986909
175,-0.8135375
176,-0.99999976
177,-0.9953631
178,-0.999033
179,-0.76807016
180,-0.9677341
181,-0.9924744
182,-0.9905188
183,-0.99995404
184,-0.99528784
185,-0.99463
186,-0.99987954
187,-0.82970184
188,-0.90895724
189,-0.94013244
190,-0.8681015
191,-0.83156407
192,-0.98643893
193,-0.99766177
194,-0.99092126
195,-0.92878896
196,-0.96272284
197,-0.9967707
198,-0.99996763
199,-0.97908473
200,-0.9821629
201,-0.9563497
202,-0.9984005
203,-0.9957641
204,-0.8302712
205,-0.9415246
206,-0.99997276
207,-0.97224206
208,-0.86682004
209,-0.9877173
210,-0.99430865
211,-0.963442
212,-0.9998005
213,-0.96869797
214,-0.9708931
215,-0.9885396
216,-0.997473
217,-0.9947442
218,-0.984401
219,-0.99534696
220,-0.96889156
221,-0.98449624
222,-0.9663746
223,-0.9890962
224,-0.9986465
225,-0.76711684
226,-0.9881544
227,-0.9960257
228,-0.84968406
229,-0.99006927
230,-0.831864
231,-0.99571824
232,-0.99844545
233,-0.99991614
234,-0.9876837
235,-0.9122174
236,-0.79583275
237,-0.98099864
238,-0.9984574
239,-0.9995176
240,1.0
241,-0.99691117
242,-0.99811155
243,-0.78336936
244,-0.97190714
245,-0.43252382
246,-0.09736439
247,-0.5918454
248,-0.99933296
249,-0.9890205
250,-0.99747616
251,-0.5484249
252,-0.9999461
253,-0.43915993
254,-0.9870689
255,-0.9979764
256,-0.4712584
257,-0.99224365
258,-0.5685523
259,-0.7162733
260,-0.9910628
261,-0.98606914
262,-0.9969751
263,-0.99558496
264,-0.7845837
265,-0.9940159
266,-0.15696958
267,-0.8543437
268,-0.8322557
269,-0.96949875
270,-0.7666562
271,-0.99912953
272,-0.9998343
273,-0.99854785
274,-0.99915886
275,-0.9985685
276,-0.99425614
277,-0.988211
278,-0.9955022
279,-0.9980833
280,-0.9407131
