,metric,value,fold,target
0,MSE,0.0832231342792511,1,AR
1,MAE,0.2267937809228897,1,AR
2,MdAE,0.20030875504016876,1,AR
3,ACPER,0.0,1,AR
4,MAPE,-0.5057858228683472,1,AR
5,RMSE,0.28848421573638916,1,AR
6,MSE,0.07996595650911331,2,AR
7,MAE,0.22330161929130554,2,AR
8,MdAE,0.20022380352020264,2,AR
9,ACPER,0.0,2,AR
10,MAPE,-0.5731955170631409,2,AR
11,RMSE,0.28278252482414246,2,AR
12,MSE,0.07720598578453064,3,AR
13,MAE,0.22713704407215118,3,AR
14,MdAE,0.20472323894500732,3,AR
15,ACPER,0.0,3,AR
16,MAPE,-0.5743199586868286,3,AR
17,RMSE,0.2778596580028534,3,AR
18,MSE,0.06897465884685516,4,AR
19,MAE,0.21532069146633148,4,AR
20,MdAE,0.189034104347229,4,AR
21,ACPER,0.0,4,AR
22,MAPE,-0.5300126671791077,4,AR
23,RMSE,0.26263028383255005,4,AR
24,MSE,0.07913553714752197,5,AR
25,MAE,0.22506830096244812,5,AR
26,MdAE,0.1996038556098938,5,AR
27,ACPER,0.0,5,AR
28,MAPE,-0.4439203143119812,5,AR
29,RMSE,0.28131037950515747,5,AR
