,metric,value,fold,target
0,MSE,0.022949833422899246,1,AR
1,MAE,0.11560111492872238,1,AR
2,MdAE,0.0975254476070404,1,AR
3,ACPER,0.03753026634382567,1,AR
4,MAPE,54628.953125,1,AR
5,RMSE,0.15149202942848206,1,AR
6,MSE,0.020840352401137352,2,AR
7,MAE,0.10828006267547607,2,AR
8,MdAE,0.0905543714761734,2,AR
9,ACPER,0.043583535108958835,2,AR
10,MAPE,8057.6669921875,2,AR
11,RMSE,0.14436188340187073,2,AR
12,MSE,0.021053245291113853,3,AR
13,MAE,0.11177381873130798,3,AR
14,MdAE,0.08979746699333191,3,AR
15,ACPER,0.05447941888619855,3,AR
16,MAPE,16219.615234375,3,AR
17,RMSE,0.14509736001491547,3,AR
18,MSE,0.017994431778788567,4,AR
19,MAE,0.10215693712234497,4,AR
20,MdAE,0.08129611611366272,4,AR
21,ACPER,0.03878787878787879,4,AR
22,MAPE,inf,4,AR
23,RMSE,0.13414332270622253,4,AR
24,MSE,0.021307894960045815,5,AR
25,MAE,0.10763303935527802,5,AR
26,MdAE,0.08472651243209839,5,AR
27,ACPER,0.044848484848484846,5,AR
28,MAPE,11066.400390625,5,AR
29,RMSE,0.14597223699092865,5,AR
