,metric,value,fold,target
0,MSE,0.026517782360315323,1,AR
1,MAE,0.12324697524309158,1,AR
2,MdAE,0.1016128659248352,1,AR
3,ACPER,0.039951573849878935,1,AR
4,MAPE,63657.62890625,1,AR
5,RMSE,0.16284281015396118,1,AR
6,MSE,0.025516021996736526,2,AR
7,MAE,0.11880230903625488,2,AR
8,MdAE,0.09215577691793442,2,AR
9,ACPER,0.03753026634382567,2,AR
10,MAPE,10417.9443359375,2,AR
11,RMSE,0.15973734855651855,2,AR
12,MSE,0.026377001777291298,3,AR
13,MAE,0.12305019795894623,3,AR
14,MdAE,0.09491558372974396,3,AR
15,ACPER,0.043583535108958835,3,AR
16,MAPE,17005.513671875,3,AR
17,RMSE,0.1624099761247635,3,AR
18,MSE,0.022844940423965454,4,AR
19,MAE,0.11549127846956253,4,AR
20,MdAE,0.08937965333461761,4,AR
21,ACPER,0.037575757575757575,4,AR
22,MAPE,inf,4,AR
23,RMSE,0.15114542841911316,4,AR
24,MSE,0.024329926818609238,5,AR
25,MAE,0.11671266704797745,5,AR
26,MdAE,0.08924534916877747,5,AR
27,ACPER,0.05696969696969697,5,AR
28,MAPE,12140.5322265625,5,AR
29,RMSE,0.15598052740097046,5,AR
