,metric,value,fold,target
0,MSE,0.013476537540555,1,AR
1,MAE,0.07125422358512878,1,AR
2,MdAE,0.0454278290271759,1,AR
3,ACPER,0.37037037037037035,1,AR
4,MAPE,0.33239519596099854,1,AR
5,RMSE,0.11608848720788956,1,AR
6,MSE,0.019341392442584038,2,AR
7,MAE,0.08155113458633423,2,AR
8,MdAE,0.053328245878219604,2,AR
9,ACPER,0.29444444444444445,2,AR
10,MAPE,0.21587114036083221,2,AR
11,RMSE,0.13907334208488464,2,AR
12,MSE,0.014246850274503231,3,AR
13,MAE,0.07496874779462814,3,AR
14,MdAE,0.05049818754196167,3,AR
15,ACPER,0.32037037037037036,3,AR
16,MAPE,0.17024192214012146,3,AR
17,RMSE,0.11936017125844955,3,AR
18,MSE,0.014578042551875114,4,AR
19,MAE,0.06812391430139542,4,AR
20,MdAE,0.04286128282546997,4,AR
21,ACPER,0.3914656771799629,4,AR
22,MAPE,0.13905934989452362,4,AR
23,RMSE,0.12073956429958344,4,AR
24,MSE,0.01287090964615345,5,AR
25,MAE,0.07881581783294678,5,AR
26,MdAE,0.057123422622680664,5,AR
27,ACPER,0.24675324675324675,5,AR
28,MAPE,0.1115204468369484,5,AR
29,RMSE,0.11345002800226212,5,AR
