,metric,value,fold,target
0,MSE,0.013750271871685982,1,AR
1,MAE,0.07262536138296127,1,AR
2,MdAE,0.045611292123794556,1,AR
3,ACPER,0.34444444444444444,1,AR
4,MAPE,0.3329344093799591,1,AR
5,RMSE,0.11726155132055283,1,AR
6,MSE,0.018268076702952385,2,AR
7,MAE,0.0800938680768013,2,AR
8,MdAE,0.0506443977355957,2,AR
9,ACPER,0.31666666666666665,2,AR
10,MAPE,0.2178317904472351,2,AR
11,RMSE,0.1351594477891922,2,AR
12,MSE,0.01592027023434639,3,AR
13,MAE,0.07723912596702576,3,AR
14,MdAE,0.05061820149421692,3,AR
15,ACPER,0.31666666666666665,3,AR
16,MAPE,0.14521895349025726,3,AR
17,RMSE,0.12617555260658264,3,AR
18,MSE,0.014551921747624874,4,AR
19,MAE,0.06939517706632614,4,AR
20,MdAE,0.04410809278488159,4,AR
21,ACPER,0.37105751391465674,4,AR
22,MAPE,0.13693539798259735,4,AR
23,RMSE,0.12063134461641312,4,AR
24,MSE,0.013118601404130459,5,AR
25,MAE,0.07227169722318649,5,AR
26,MdAE,0.04624044895172119,5,AR
27,ACPER,0.3395176252319109,5,AR
28,MAPE,0.09250815957784653,5,AR
29,RMSE,0.11453646421432495,5,AR
