,metric,value,fold,target
0,MSE,0.012539354152977467,1,AR
1,MAE,0.07054761052131653,1,AR
2,MdAE,0.0445503294467926,1,AR
3,ACPER,0.35555555555555557,1,AR
4,MAPE,0.33007580041885376,1,AR
5,RMSE,0.11197926104068756,1,AR
6,MSE,0.018203848972916603,2,AR
7,MAE,0.07683209329843521,2,AR
8,MdAE,0.04833012819290161,2,AR
9,ACPER,0.3351851851851852,2,AR
10,MAPE,0.2271878570318222,2,AR
11,RMSE,0.13492164015769958,2,AR
12,MSE,0.014792908914387226,3,AR
13,MAE,0.07289055734872818,3,AR
14,MdAE,0.04898780584335327,3,AR
15,ACPER,0.34074074074074073,3,AR
16,MAPE,0.16691283881664276,3,AR
17,RMSE,0.1216261014342308,3,AR
18,MSE,0.015211059711873531,4,AR
19,MAE,0.0706944391131401,4,AR
20,MdAE,0.04459714889526367,4,AR
21,ACPER,0.3673469387755102,4,AR
22,MAPE,0.15556634962558746,4,AR
23,RMSE,0.12333312630653381,4,AR
24,MSE,0.01329849660396576,5,AR
25,MAE,0.07639870047569275,5,AR
26,MdAE,0.05301791429519653,5,AR
27,ACPER,0.2894248608534323,5,AR
28,MAPE,0.097843237221241,5,AR
29,RMSE,0.11531911045312881,5,AR
