SMILES,Fragment,AR,Predicted,Functional Group,Molecular Weight,LogP,Num H Donors,Num H Acceptors
CC(=O)NNC1=CC=CC=C1,CC(=O)NNc1ccccc1,0.71666150838474,1.5675204,Amine,150.18099999999998,1.1496,2,2
[H][C@@]12CCCN1C(=O)[C@H](NC(=O)[C@@H](NC(=O)C1=C3N=C4C(OC3=C(C)C=C1)=C(C)C(=O)C(N)=C4C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@]3([H])CCCN3C(=O)[C@H](NC1=O)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C,[1*]C([6*])=O,-1.17574165676447,-0.362067,Other,28.009999999999998,0.20500000000000002,0,1
[H][C@@]12CCCN1C(=O)[C@H](NC(=O)[C@@H](NC(=O)C1=C3N=C4C(OC3=C(C)C=C1)=C(C)C(=O)C(N)=C4C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@]3([H])CCCN3C(=O)[C@H](NC1=O)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C,[16*]c1c2nc3c([16*])ccc(C)c3oc-2c(C)c(=O)c1N,-1.17574165676447,-0.362067,Amine,238.24599999999992,0.84104,1,4
[H][C@@]12CCCN1C(=O)[C@H](NC(=O)[C@@H](NC(=O)C1=C3N=C4C(OC3=C(C)C=C1)=C(C)C(=O)C(N)=C4C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@]3([H])CCCN3C(=O)[C@H](NC1=O)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C,[5*]N[5*],-1.17574165676447,-0.362067,Amine,15.015,-0.4954,1,1
[H][C@@]12CCCN1C(=O)[C@H](NC(=O)[C@@H](NC(=O)C1=C3N=C4C(OC3=C(C)C=C1)=C(C)C(=O)C(N)=C4C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@]3([H])CCCN3C(=O)[C@H](NC1=O)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C,[8*]C(C)C,-1.17574165676447,-0.362067,Other,43.089,1.3639999999999999,0,0
[H][C@@]12CCCN1C(=O)[C@H](NC(=O)[C@@H](NC(=O)C1=C3N=C4C(OC3=C(C)C=C1)=C(C)C(=O)C(N)=C4C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@]3([H])CCCN3C(=O)[C@H](NC1=O)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C,[13*][C@H]1C(=O)O[C@H](C)[C@H]([15*])C(=O)N[C@H]([13*])C(=O)N2CCC[C@H]2C(=O)N(C)CC(=O)N1C,-1.17574165676447,-0.362067,Ester,379.39300000000014,-1.955699999999995,1,6
[H][C@]12C[C@]([H])(C=C1)[C@]1([H])[C@@]2([H])[C@]2(Cl)C(Cl)=C(Cl)[C@@]1(Cl)C2(Cl)Cl,ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]([C@@H]4C=C[C@H]3C4)[C@@]1(Cl)C2(Cl)Cl,1.65147175788519,1.6625079,Alkyl Halide,364.914,5.270200000000002,0,0
OCC=C,C=CCO,1.46354367171121,1.5974461,Alcohol,58.08,0.1647,1,1
CCOC1=C(N)C=C(NC(C)=O)C=C1,[5*]N[5*],1.88722937379474,1.5528613,Amine,15.015,-0.4954,1,1
CCOC1=C(N)C=C(NC(C)=O)C=C1,[1*]C(C)=O,1.88722937379474,1.5528613,Other,43.045,0.0822,0,1
