,0
0,0.40110314
1,-0.12731755
2,0.6621327
3,0.609657
4,0.72796386
5,0.66270596
6,0.608216
7,0.66258854
8,0.6637479
9,0.6884456
10,0.6520027
11,0.6318161
12,0.45362207
13,0.08852486
14,0.6022768
15,0.59133834
16,0.59714794
17,0.3778194
18,0.60609764
19,0.60427225
20,0.58304876
21,0.6596364
22,0.6975302
23,0.6297509
24,0.14261784
25,0.5987854
26,0.6483353
27,0.58992165
28,0.5942117
29,0.6573805
30,0.47451374
31,0.646527
32,0.5614166
33,0.56454366
34,0.6483353
35,0.69127774
36,0.6830336
37,0.69424975
38,0.62737685
39,0.7040674
40,0.67877686
41,0.59607
42,0.61651045
43,0.71798617
44,0.422189
45,0.49565297
46,0.5716761
47,0.6463893
48,0.62346965
49,0.62744355
50,0.7011834
51,0.6483353
52,0.6112665
53,0.6464702
54,0.5909126
55,0.67687476
56,0.607711
57,0.70859766
58,0.6589562
59,0.6073681
60,0.4451702
61,0.629622
62,0.6446743
63,-0.06634762
64,0.34354427
65,0.5189393
66,0.7082536
67,0.6797839
68,0.615139
69,0.61829144
70,0.65318817
71,0.69320345
72,0.7098483
73,0.6240991
74,0.68349814
75,0.64635545
76,0.38741755
77,0.6483353
78,0.6311127
79,0.57376254
80,0.66261876
81,0.6119239
82,0.17124388
83,0.71558636
84,0.590395
85,0.6753957
86,0.7152706
87,0.62230223
88,0.6145502
89,0.66976476
90,0.5540706
91,0.702849
92,0.72049785
93,0.69427663
94,0.7061287
95,0.632142
96,0.6045926
97,0.6240465
98,0.6260586
99,0.7246412
100,0.35574594
101,0.6840038
102,0.59430224
103,0.5756197
104,0.1720962
105,0.66261876
106,0.6875793
107,0.60156703
108,0.61065334
109,0.5595213
110,0.6321186
111,0.6483353
112,0.67605615
113,0.62987894
114,0.6263948
115,0.34433872
116,0.6483353
117,0.31065333
118,0.66217273
119,0.39836848
120,0.5883496
121,0.67156327
122,0.48445728
123,0.71037716
124,0.6483353
125,0.5875735
126,0.6676562
127,0.70181423
128,0.6896332
129,0.67584175
130,0.6483353
131,0.5999251
132,0.72364986
133,0.62077296
134,0.65693086
135,0.6137216
