,0
0,0.40110314
1,-0.12731755
2,0.609657
3,0.72796386
4,0.66270596
5,0.66258854
6,0.651245
7,0.6637479
8,0.6884456
9,0.6520027
10,0.6318161
11,0.6397764
12,0.45362207
13,0.6022768
14,0.5242154
15,0.59714794
16,0.47884244
17,0.3778194
18,0.60609764
19,0.49718228
20,0.60427225
21,0.71797055
22,0.6596364
23,0.6297509
24,0.14261784
25,0.6483353
26,0.58992165
27,0.5942117
28,0.6573805
29,0.47451374
30,0.5614166
31,0.6483353
32,0.6830336
33,0.69424975
34,0.62737685
35,0.7040674
36,0.67877686
37,0.59607
38,0.6757513
39,0.6547727
40,0.61651045
41,0.71798617
42,0.422189
43,0.6463893
44,0.62346965
45,0.7188945
46,0.60253835
47,0.7011834
48,0.6112665
49,0.6464702
50,0.5909126
51,0.63972825
52,0.67687476
53,0.607711
54,0.70859766
55,0.59332967
56,0.6589562
57,0.7254954
58,0.4451702
59,0.629622
60,0.6446743
61,0.62210345
62,-0.06634762
63,0.5189393
64,0.7082536
65,0.615139
66,0.46102098
67,0.634345
68,0.61829144
69,0.69320345
70,0.7098483
71,0.6240991
72,0.68349814
73,0.38741755
74,0.6483353
75,0.6311127
76,0.57376254
77,0.66261876
78,0.17124388
79,0.1932339
80,0.71558636
81,0.4856022
82,0.6753957
83,0.7152706
84,0.5965529
85,0.62230223
86,0.66976476
87,0.5540706
88,0.702849
89,0.72049785
90,0.69427663
91,0.632142
92,0.6620235
93,0.6045926
94,0.6240465
95,0.69911295
96,0.6260586
97,0.6257565
98,0.30226797
99,0.7246412
100,0.6406091
101,0.35574594
102,0.6840038
103,0.59430224
104,0.5756197
105,0.66695964
106,0.1720962
107,0.66261876
108,0.6875793
109,0.60156703
110,0.61065334
111,0.5595213
112,0.6321186
113,0.67605615
114,0.62987894
115,0.6263948
116,0.34433872
117,0.6483353
118,0.31065333
119,0.66217273
120,0.39836848
121,0.67156327
122,0.6483353
123,0.5915247
124,0.6676562
125,0.70181423
126,0.6896332
127,0.6483353
128,0.5999251
129,0.54978985
130,0.62077296
131,0.65693086
132,0.66261876
133,0.6137216
134,0.6978333
135,0.6328989
