,0
0,0.40110314
1,0.6621327
2,0.609657
3,0.66270596
4,0.608216
5,0.66258854
6,0.651245
7,0.6637479
8,0.6884456
9,0.6318161
10,0.6397764
11,0.45362207
12,0.08852486
13,0.59133834
14,0.5242154
15,0.47884244
16,0.60609764
17,0.49718228
18,0.60427225
19,0.71797055
20,0.58304876
21,0.6596364
22,0.6975302
23,0.6297509
24,0.14261784
25,0.5987854
26,0.6483353
27,0.58992165
28,0.646527
29,0.56454366
30,0.6483353
31,0.69127774
32,0.6830336
33,0.69424975
34,0.62737685
35,0.7040674
36,0.59607
37,0.6757513
38,0.6547727
39,0.71798617
40,0.422189
41,0.49565297
42,0.5716761
43,0.6463893
44,0.62346965
45,0.7188945
46,0.62744355
47,0.60253835
48,0.7011834
49,0.6483353
50,0.6112665
51,0.6464702
52,0.63972825
53,0.67687476
54,0.607711
55,0.70859766
56,0.59332967
57,0.6589562
58,0.7254954
59,0.6073681
60,0.4451702
61,0.629622
62,0.62210345
63,-0.06634762
64,0.34354427
65,0.5189393
66,0.7082536
67,0.6797839
68,0.615139
69,0.46102098
70,0.634345
71,0.61829144
72,0.65318817
73,0.69320345
74,0.7098483
75,0.64635545
76,0.38741755
77,0.6483353
78,0.6311127
79,0.66261876
80,0.6119239
81,0.1932339
82,0.71558636
83,0.590395
84,0.4856022
85,0.7152706
86,0.5965529
87,0.62230223
88,0.6145502
89,0.66976476
90,0.5540706
91,0.702849
92,0.72049785
93,0.69427663
94,0.7061287
95,0.6620235
96,0.6240465
97,0.69911295
98,0.6257565
99,0.30226797
100,0.6406091
101,0.35574594
102,0.6840038
103,0.59430224
104,0.66695964
105,0.1720962
106,0.6875793
107,0.60156703
108,0.61065334
109,0.5595213
110,0.6321186
111,0.6483353
112,0.67605615
113,0.62987894
114,0.6263948
115,0.34433872
116,0.6483353
117,0.31065333
118,0.39836848
119,0.5883496
120,0.48445728
121,0.71037716
122,0.6483353
123,0.5875735
124,0.5915247
125,0.6676562
126,0.67584175
127,0.6483353
128,0.5999251
129,0.54978985
130,0.72364986
131,0.66261876
132,0.6137216
133,0.7048499
134,0.6978333
135,0.6328989
136,0.19545642
137,0.36569598
138,0.7240925
139,0.59102213
140,0.6459273
141,0.6762923
142,0.7250111
143,0.7234654
144,0.6318399
145,0.67167807
146,0.660101
147,0.5822087
148,0.554955
149,0.64478123
150,0.61874163
151,0.7405697
152,0.39181864
153,0.5466882
154,0.5642779
155,0.70943254
156,0.6352261
157,0.6063879
158,0.61970675
159,0.69626653
160,0.6822502
161,0.6653141
162,0.6991715
163,0.6152848
164,0.6029973
165,0.7125971
166,0.49297187
167,0.55698866
168,0.68603015
169,0.69733983
170,0.6811206
171,0.71254843
172,0.66261876
173,0.6993212
174,0.64833355
175,0.6483353
176,0.64464605
177,0.6273283
178,0.72621596
179,0.63536584
180,0.6245649
181,0.39930314
182,0.7142817
183,0.6729703
184,0.63873434
185,0.61593235
186,0.6753957
187,0.664442
188,0.5905194
189,0.5757955
190,0.6737265
191,0.66261876
192,0.5143022
193,0.66261876
194,0.68625325
195,0.65649444
196,0.6481196
197,0.66261876
198,0.6483353
199,0.43858156
200,0.7233958
201,0.65317047
202,0.6645162
203,0.71515226
204,0.6539172
205,0.5860714
206,0.6483353
207,0.5853774
208,0.64536166
209,0.55576885
210,0.6596936
211,0.6317407
212,0.66748685
213,0.5688326
214,0.54803425
215,0.5327895
216,0.5076195
217,0.66261876
218,0.5941578
219,0.70414776
220,0.47881615
221,0.5570729
222,0.37070087
223,0.55525774
224,0.1584036
225,0.6378966
226,0.57036406
227,0.6491278
228,0.46942452
229,0.6077842
230,0.6301455
231,0.6525014
232,0.62633973
233,0.04774271
234,0.71959054
235,0.671569
236,0.04451688
237,0.57924676
238,0.7114605
239,0.0475106
240,0.23813461
241,0.61610544
242,0.6169047
243,0.61701214
244,0.6659711
245,0.6546946
246,0.62082636
247,0.5921114
248,0.5217543
249,0.5642779
250,0.6483353
251,0.63760984
252,0.07319605
253,0.11368338
254,0.62274694
255,0.6615638
256,0.6044866
257,0.6375802
258,0.61923206
259,0.6443895
260,0.66451144
261,0.5636935
262,0.43286964
263,0.38349694
264,0.6503311
265,0.5575553
266,0.52474016
267,0.62547934
268,0.7242253
269,0.6754178
270,0.61825013
271,0.5447998
272,0.5840647
273,0.6082201
274,0.6576705
275,0.61758053
276,0.5642779
277,0.51647824
278,0.7180547
279,0.68835515
280,0.62469727
281,0.50855196
282,0.6895385
283,0.7076651
284,0.6483353
285,0.49948725
286,0.70217854
287,0.3922513
288,0.66261876
289,0.61825055
290,0.66968054
291,0.7329943
292,0.6496256
293,0.673828
294,0.68057084
295,0.6082292
296,0.68628746
297,0.6483353
298,0.61372614
299,0.63409656
300,0.62893105
301,0.5812171
302,0.53205115
303,0.6312691
304,0.7100202
305,0.7099863
306,0.6960962
307,0.62196845
308,0.67539465
309,0.5851357
310,0.6271323
311,0.71766484
312,0.65857184
313,0.72205883
314,0.6886435
315,0.7028148
316,0.6623163
317,0.692494
318,0.62297755
319,0.6753957
320,0.6222112
321,0.592516
322,0.6052747
323,0.6218006
324,0.65733165
325,0.6914551
326,0.67757386
327,0.6100824
328,0.68431455
329,0.6687557
330,0.70359564
331,0.59033716
332,0.6483353
333,0.5720251
334,0.6606739
335,0.62838614
336,0.6801096
337,0.6644948
338,0.5728934
339,0.61297095
340,0.6258868
341,0.5532569
342,0.553194
343,0.69333917
344,0.5537441
345,0.5643571
346,0.72372353
347,0.6483353
348,0.6483353
349,0.70944595
350,0.63275063
351,0.58896273
352,0.058842268
353,0.627882
354,0.66782004
355,0.6158436
356,0.62602025
357,0.67659837
358,0.6209415
359,0.6365747
360,0.27228197
361,0.59133834
362,0.46988565
363,0.537101
364,0.59133834
365,0.6483353
366,0.59133834
367,0.24340197
368,0.6231282
369,0.6187108
370,0.59133834
371,0.616573
372,0.47280097
373,0.51499456
374,0.5661688
375,0.6419807
376,0.6173274
377,0.5743733
378,0.41430724
379,0.6794268
380,0.49494803
381,0.58961827
382,0.57818997
383,0.5978029
384,0.57381797
385,0.6281161
386,0.5120302
387,0.5232366
388,0.59799206
389,0.45725644
390,0.5917344
391,0.59133834
392,0.72093153
393,0.6247455
394,0.47926295
395,0.6403199
396,0.43738255
397,0.06086238
398,0.64332145
399,0.61227417
400,-0.17915213
401,-0.1778772
402,0.5742766
403,0.5244687
404,0.4588926
405,0.59182215
406,0.59479296
407,0.6244633
408,0.5394681
409,0.64883465
410,0.6252942
411,0.66571397
412,0.5642779
413,0.62749964
414,0.6789744
415,0.71339285
416,0.5888033
417,0.23165683
418,0.60145646
419,0.54630363
420,0.6171152
421,0.5513215
422,0.5426577
423,0.5558631
424,0.59133834
425,0.61316204
426,0.7106649
427,0.55994135
428,0.43438828
429,0.48972812
430,-0.10068849
431,0.13235436
432,-0.042979077
433,0.55661976
434,0.6909725
435,0.6483353
436,0.53342
437,0.60858834
438,0.59769416
439,0.6218514
440,-0.07703047
441,0.5236182
442,0.63696516
443,0.5279753
444,0.6270446
445,0.54906464
446,0.1770404
447,0.6688912
448,0.6382242
449,0.59692764
450,0.6540165
451,0.5734927
452,0.6578688
453,0.5908049
454,0.53407604
455,0.5642779
456,0.100339375
457,0.42432323
458,0.39151764
459,0.59161013
460,0.5913979
461,0.6151503
462,0.57270396
463,0.5754577
464,0.21093617
465,0.5760423
466,-0.31131154
467,0.6692859
468,0.6797473
469,0.7234532
470,0.6023538
471,0.6483353
472,0.5414398
473,0.54545724
474,0.599858
475,0.62381387
476,0.64104664
477,0.31853753
478,0.60573786
479,0.52834725
480,0.34637284
481,0.62233573
482,0.63092166
483,0.5535555
484,0.66261876
485,0.5712799
486,0.5676263
487,0.641847
488,0.59133834
489,0.62674606
