,metric,value,fold,target
0,MSE,0.012288049794733524,1,AR
1,MAE,0.07508130371570587,1,AR
2,MdAE,0.05375552177429199,1,AR
3,ACPER,0.3111111111111111,1,AR
4,MAPE,0.32815173268318176,1,AR
5,RMSE,0.1108514741063118,1,AR
6,MSE,0.018081583082675934,2,AR
7,MAE,0.07696427404880524,2,AR
8,MdAE,0.0456104576587677,2,AR
9,ACPER,0.37037037037037035,2,AR
10,MAPE,0.1967647671699524,2,AR
11,RMSE,0.13446778059005737,2,AR
12,MSE,0.014773942530155182,3,AR
13,MAE,0.08325263857841492,3,AR
14,MdAE,0.06220489740371704,3,AR
15,ACPER,0.25925925925925924,3,AR
16,MAPE,0.14518754184246063,3,AR
17,RMSE,0.1215481087565422,3,AR
18,MSE,0.016281796619296074,4,AR
19,MAE,0.07894284278154373,4,AR
20,MdAE,0.053874671459198,4,AR
21,ACPER,0.29313543599257885,4,AR
22,MAPE,0.15518686175346375,4,AR
23,RMSE,0.12760014832019806,4,AR
24,MSE,0.013009450398385525,5,AR
25,MAE,0.07892602682113647,5,AR
26,MdAE,0.05425959825515747,5,AR
27,ACPER,0.2894248608534323,5,AR
28,MAPE,0.1003420501947403,5,AR
29,RMSE,0.1140589788556099,5,AR
