DTXSID,inchi,InChI-key
DTXSID00162995,"InChI=1S/C11H11NO6S/c1-18-10(13)11(6-7-11)19(16,17)9-4-2-8(3-5-9)12(14)15/h2-5H,6-7H2,1H3",JPEDHHGXVGENMN-UHFFFAOYSA-N
DTXSID00163684,"InChI=1S/C9H16O4/c1-9(2,3)13-8(11)6-5-7(10)12-4/h5-6H2,1-4H3",KGLNZUDBQPORRI-UHFFFAOYSA-N
DTXSID00164853,"InChI=1S/C8H10O/c1-7(9)8-5-3-2-4-6-8/h2-7,9H,1H3/t7-/m1/s1",WAPNOHKVXSQRPX-SSDOTTSWSA-N
DTXSID00165865,"InChI=1S/C11H9BrO3/c12-5-6-14-9-3-1-8-2-4-11(13)15-10(8)7-9/h1-4,7H,5-6H2",UVZZJDAWINTTQK-UHFFFAOYSA-N
DTXSID00166872,"InChI=1S/C8H15N/c1-2-5-8-6-3-4-7-9-8/h2-7H2,1H3",PQSOVRNZJIENNW-UHFFFAOYSA-N
DTXSID00169964,"InChI=1S/C12H15Cl2NO3/c13-5-7-15(8-6-14)10-1-3-11(4-2-10)18-9-12(16)17/h1-4H,5-9H2,(H,16,17)",IVWVTSYBZDGRSH-UHFFFAOYSA-N
DTXSID00171769,"InChI=1S/C10H7ClFN/c1-6-4-9(11)8-5-7(12)2-3-10(8)13-6/h2-5H,1H3",GMMVVJJBQBYMNZ-UHFFFAOYSA-N
DTXSID00171926,"InChI=1S/C13H23N3O2/c17-13(14-11-7-3-1-4-8-11)16(15-18)12-9-5-2-6-10-12/h11-12H,1-10H2,(H,14,17)",QPCXBDFOKPFIOP-UHFFFAOYSA-N
DTXSID00173561,"InChI=1S/C11H15NO/c1-11(7-12(2)8-11)9-4-3-5-10(13)6-9/h3-6,13H,7-8H2,1-2H3",KEYPQTMTBMALPJ-UHFFFAOYSA-N
DTXSID00178475,"InChI=1S/C14H11NO4/c15-10-7-5-9(6-8-10)14(18)19-12-4-2-1-3-11(12)13(16)17/h1-8H,15H2,(H,16,17)",BMZUCPSQJRBTNB-UHFFFAOYSA-N
DTXSID00186616,"InChI=1S/C20H16/c1-13-16-8-5-6-9-17(16)14(2)20-18(13)12-11-15-7-3-4-10-19(15)20/h3-12H,1-2H3/i1D3,2D3,3D,4D,5D,6D,7D,8D,9D,10D,11D,12D",ARSRBNBHOADGJU-QRHMKPRTSA-N
