,metric,value,fold,target
0,MSE,0.029831508174538612,1,AR
1,MAE,0.11952564865350723,1,AR
2,MdAE,0.0759163498878479,1,AR
3,ACPER,0.02921535893155259,1,AR
4,MAPE,18102.23828125,1,AR
5,RMSE,0.17271800339221954,1,AR
6,MSE,0.032575443387031555,2,AR
7,MAE,0.12327881157398224,2,AR
8,MdAE,0.07850874960422516,2,AR
9,ACPER,0.015859766277128547,2,AR
10,MAPE,7615.15625,2,AR
11,RMSE,0.18048667907714844,2,AR
12,MSE,0.027915336191654205,3,AR
13,MAE,0.11434455215930939,3,AR
14,MdAE,0.07533499598503113,3,AR
15,ACPER,0.02003338898163606,3,AR
16,MAPE,19189.859375,3,AR
17,RMSE,0.16707883775234222,3,AR
18,MSE,0.02951815351843834,4,AR
19,MAE,0.1187615618109703,4,AR
20,MdAE,0.07629172503948212,4,AR
21,ACPER,0.026733500417710943,4,AR
22,MAPE,inf,4,AR
23,RMSE,0.17180848121643066,4,AR
24,MSE,0.034257855266332626,5,AR
25,MAE,0.12451478838920593,5,AR
26,MdAE,0.07422855496406555,5,AR
27,ACPER,0.020885547201336674,5,AR
28,MAPE,26799.431640625,5,AR
29,RMSE,0.18508878350257874,5,AR
