,metric,value,fold,target
0,MSE,1.231113314628601,1,AR
1,MAE,0.809644341468811,1,AR
2,MdAE,0.5978405475616455,1,AR
3,ACPER,0.007263922518159807,1,AR
4,MAPE,-0.32669562101364136,1,AR
5,RMSE,1.1095554828643799,1,AR
6,MSE,1.1494089365005493,2,AR
7,MAE,0.7617043852806091,2,AR
8,MdAE,0.575950026512146,2,AR
9,ACPER,0.012106537530266344,2,AR
10,MAPE,-0.08079458773136139,2,AR
11,RMSE,1.0721049308776855,2,AR
12,MSE,1.1749135255813599,3,AR
13,MAE,0.7843479514122009,3,AR
14,MdAE,0.5922434329986572,3,AR
15,ACPER,0.009685230024213076,3,AR
16,MAPE,-0.01786668412387371,3,AR
17,RMSE,1.0839343070983887,3,AR
18,MSE,1.0006293058395386,4,AR
19,MAE,0.7485702037811279,4,AR
20,MdAE,0.587170422077179,4,AR
21,ACPER,0.01575757575757576,4,AR
22,MAPE,1.0839234590530396,4,AR
23,RMSE,1.0003145933151245,4,AR
24,MSE,1.0907177925109863,5,AR
25,MAE,0.7517222166061401,5,AR
26,MdAE,0.551395833492279,5,AR
27,ACPER,0.01090909090909091,5,AR
28,MAPE,1.096299171447754,5,AR
29,RMSE,1.0443743467330933,5,AR
