,metric,value,fold,target
0,MSE,0.0831114798784256,1,AR
1,MAE,0.22390016913414001,1,AR
2,MdAE,0.1937791407108307,1,AR
3,ACPER,0.0,1,AR
4,MAPE,-0.49943894147872925,1,AR
5,RMSE,0.2882906198501587,1,AR
6,MSE,0.07987760007381439,2,AR
7,MAE,0.22995704412460327,2,AR
8,MdAE,0.21180760860443115,2,AR
9,ACPER,0.0,2,AR
10,MAPE,-0.5964148044586182,2,AR
11,RMSE,0.2826262414455414,2,AR
12,MSE,0.07439690828323364,3,AR
13,MAE,0.22626756131649017,3,AR
14,MdAE,0.21245522797107697,3,AR
15,ACPER,0.0,3,AR
16,MAPE,-0.5731154680252075,3,AR
17,RMSE,0.27275797724723816,3,AR
18,MSE,0.07056854665279388,4,AR
19,MAE,0.21740715205669403,4,AR
20,MdAE,0.19827301800251007,4,AR
21,ACPER,0.0,4,AR
22,MAPE,-0.5601110458374023,4,AR
23,RMSE,0.26564741134643555,4,AR
24,MSE,0.0769427940249443,5,AR
25,MAE,0.22286994755268097,5,AR
26,MdAE,0.1996062994003296,5,AR
27,ACPER,0.0,5,AR
28,MAPE,-0.5128107070922852,5,AR
29,RMSE,0.2773856520652771,5,AR
