,0
0,0.0013008576
1,0.25577816
2,40.03718
3,192.90404
4,9.444165
5,18.426804
6,194.09216
7,188.40994
8,68.08928
9,1.8159602
10,12.966384
11,175.07478
12,183.9829
13,2.0720677
14,35.876865
15,1.7051789
16,193.27193
17,199.3706
18,199.54022
19,53.920296
20,160.04497
21,0.7336115
22,2.7984042
23,197.43488
24,22.872326
25,17.114727
26,197.64757
27,0.8323691
28,93.09387
29,24.082848
30,14.617691
31,31.27587
32,15.950932
33,4.9448357
34,9.524601
35,11.923701
36,4.5375013
37,3.1152158
38,30.095213
39,0.2633979
40,10.701601
41,4.8177114
42,0.11108562
43,0.051764585
44,8.049791
45,3.6172135
46,28.179892
47,0.032135278
48,0.39664662
49,0.12497972
50,0.99590856
51,1.821035
52,7.2817307
53,0.0951588
54,5.8193555
55,2.656426
56,22.970255
57,1.7439934
58,7.432027
59,5.629699
60,33.772247
61,23.074368
62,10.653821
63,10.86736
64,8.151721
65,10.257666
66,6.1777387
67,1.6302841
68,0.38594347
69,20.286219
70,23.43409
71,5.0315595
72,6.3254128
73,16.376726
74,16.936249
75,45.099525
76,25.851385
77,7.877396
78,20.73423
79,0.7178392
80,1.0821307
81,16.530668
82,4.4388647
83,0.24187723
84,10.360418
85,44.078182
86,14.296871
87,47.659294
88,1.7932608
89,2.5552726
90,0.034082964
91,8.725895
92,5.660922
93,4.187476
94,4.699701
95,9.144808
96,15.571656
97,10.316106
98,21.090431
99,20.661537
100,5.703002
101,13.611652
102,5.142854
103,11.607103
104,15.229244
105,7.505713
106,5.518067
107,1.7598325
108,16.123264
109,4.6801867
110,17.827063
111,23.03121
112,0.0035939186
113,2.1375537
114,5.562547
115,24.420795
116,1.6114227
117,21.948761
118,8.637275
119,1.3900827
120,14.544328
121,18.10041
122,10.013976
123,0.21621056
124,0.911338
125,6.0779815
126,4.926607
127,5.4280252
128,0.085036
129,10.11979
130,17.264708
131,1.6379356
132,17.112726
133,19.859236
134,0.23689012
135,31.88439
136,31.105476
137,0.028277224
138,0.9339628
139,23.984325
140,5.983712
141,1.3801197
142,4.286577
143,18.070269
144,5.9017715
145,20.30692
146,1.5761245
147,1.075684
148,17.876411
149,0.6872221
150,0.21344234
151,0.29467526
152,0.93648595
153,5.0330305
154,1.2568922
155,0.031505134
156,2.1523361
157,0.501826
158,0.19528079
159,18.697765
160,13.130011
161,3.768912
162,1.7364368
163,1.2739762
164,13.100856
165,2.118232
166,10.796029
167,0.6834779
168,0.0005429642
