,metric,value,fold,target
0,MSE,1064.0137939453125,1,AR
1,MAE,23.58362579345703,1,AR
2,MdAE,18.605016708374023,1,AR
3,ACPER,0.04116222760290557,1,AR
4,MAPE,6874.7177734375,1,AR
5,RMSE,32.619224548339844,1,AR
6,MSE,1021.953857421875,2,AR
7,MAE,23.895387649536133,2,AR
8,MdAE,20.797643661499023,2,AR
9,ACPER,0.02784503631961259,2,AR
10,MAPE,7262.49462890625,2,AR
11,RMSE,31.968013763427734,2,AR
12,MSE,954.1094360351562,3,AR
13,MAE,23.76807975769043,3,AR
14,MdAE,20.339385986328125,3,AR
15,ACPER,0.02784503631961259,3,AR
16,MAPE,6508.25439453125,3,AR
17,RMSE,30.888662338256836,3,AR
18,MSE,944.1788940429688,4,AR
19,MAE,23.80025863647461,4,AR
20,MdAE,20.493635177612305,4,AR
21,ACPER,0.039951573849878935,4,AR
22,MAPE,171619.90625,4,AR
23,RMSE,30.727493286132812,4,AR
24,MSE,1019.1687622070312,5,AR
25,MAE,23.765064239501953,5,AR
26,MdAE,19.320720672607422,5,AR
27,ACPER,0.027878787878787878,5,AR
28,MAPE,6171.205078125,5,AR
29,RMSE,31.924423217773438,5,AR
