,metric,value,fold,target
0,MSE,0.02994699403643608,1,AR
1,MAE,0.1250579059123993,1,AR
2,MdAE,0.0920722484588623,1,AR
3,ACPER,0.01669449081803005,1,AR
4,MAPE,32041.419921875,1,AR
5,RMSE,0.17305199801921844,1,AR
6,MSE,0.030288683250546455,2,AR
7,MAE,0.12649448215961456,2,AR
8,MdAE,0.09444177895784378,2,AR
9,ACPER,0.03005008347245409,2,AR
10,MAPE,13283.79296875,2,AR
11,RMSE,0.17403644323349,2,AR
12,MSE,0.02756812982261181,3,AR
13,MAE,0.12132677435874939,3,AR
14,MdAE,0.09392824023962021,3,AR
15,ACPER,0.020868113522537562,3,AR
16,MAPE,30959.326171875,3,AR
17,RMSE,0.16603653132915497,3,AR
18,MSE,0.02735787071287632,4,AR
19,MAE,0.12060019373893738,4,AR
20,MdAE,0.08762207627296448,4,AR
21,ACPER,0.020885547201336674,4,AR
22,MAPE,inf,4,AR
23,RMSE,0.1654021441936493,4,AR
24,MSE,0.032182615250349045,5,AR
25,MAE,0.1270878165960312,5,AR
26,MdAE,0.08788250386714935,5,AR
27,ACPER,0.02422723475355054,5,AR
28,MAPE,25855.78515625,5,AR
29,RMSE,0.1793951392173767,5,AR
