,metric,value,fold,target
0,MSE,0.9942607283592224,1,AR
1,MAE,0.770330548286438,1,AR
2,MdAE,0.6637487411499023,1,AR
3,ACPER,0.0036319612590799033,1,AR
4,MAPE,-0.10365557670593262,1,AR
5,RMSE,0.9971262216567993,1,AR
6,MSE,0.9459372162818909,2,AR
7,MAE,0.7503851056098938,2,AR
8,MdAE,0.6441605091094971,2,AR
9,ACPER,0.007263922518159807,2,AR
10,MAPE,-0.015093103982508183,2,AR
11,RMSE,0.9725930094718933,2,AR
12,MSE,0.9274773597717285,3,AR
13,MAE,0.7510561943054199,3,AR
14,MdAE,0.6362459659576416,3,AR
15,ACPER,0.0012106537530266344,3,AR
16,MAPE,0.10966214537620544,3,AR
17,RMSE,0.9630562663078308,3,AR
18,MSE,0.81085604429245,4,AR
19,MAE,0.7181814312934875,4,AR
20,MdAE,0.6375492811203003,4,AR
21,ACPER,0.0024242424242424242,4,AR
22,MAPE,0.30241891741752625,4,AR
23,RMSE,0.9004754424095154,4,AR
24,MSE,1.0772496461868286,5,AR
25,MAE,0.8048887252807617,5,AR
26,MdAE,0.6583380103111267,5,AR
27,ACPER,0.0036363636363636364,5,AR
28,MAPE,-0.017514551058411598,5,AR
29,RMSE,1.0379064083099365,5,AR
