,metric,value,fold,target
0,MSE,1.0020999908447266,1,AR
1,MAE,0.7721786499023438,1,AR
2,MdAE,0.6815251111984253,1,AR
3,ACPER,0.004842615012106538,1,AR
4,MAPE,-0.023898238316178322,1,AR
5,RMSE,1.0010493993759155,1,AR
6,MSE,0.94744473695755,2,AR
7,MAE,0.7730607986450195,2,AR
8,MdAE,0.7038084268569946,2,AR
9,ACPER,0.00847457627118644,2,AR
10,MAPE,-0.1766703724861145,2,AR
11,RMSE,0.9733677506446838,2,AR
12,MSE,0.8463782072067261,3,AR
13,MAE,0.7404091954231262,3,AR
14,MdAE,0.6669865250587463,3,AR
15,ACPER,0.0036319612590799033,3,AR
16,MAPE,-0.34407177567481995,3,AR
17,RMSE,0.9199881553649902,3,AR
18,MSE,0.8493251800537109,4,AR
19,MAE,0.7456391453742981,4,AR
20,MdAE,0.6752552390098572,4,AR
21,ACPER,0.006053268765133172,4,AR
22,MAPE,0.5464751124382019,4,AR
23,RMSE,0.9215884208679199,4,AR
24,MSE,0.8791338205337524,5,AR
25,MAE,0.7486442923545837,5,AR
26,MdAE,0.6610327363014221,5,AR
27,ACPER,0.0048484848484848485,5,AR
28,MAPE,0.11324857920408249,5,AR
29,RMSE,0.9376213550567627,5,AR
