,metric,value,fold,target
0,MSE,1.2512428760528564,1,AR
1,MAE,0.8233641982078552,1,AR
2,MdAE,0.6312589049339294,1,AR
3,ACPER,0.00847457627118644,1,AR
4,MAPE,-0.6726402044296265,1,AR
5,RMSE,1.1185896396636963,1,AR
6,MSE,1.0995151996612549,2,AR
7,MAE,0.7831310033798218,2,AR
8,MdAE,0.6188048124313354,2,AR
9,ACPER,0.012106537530266344,2,AR
10,MAPE,0.22182580828666687,2,AR
11,RMSE,1.0485776662826538,2,AR
12,MSE,1.1008554697036743,3,AR
13,MAE,0.7863031625747681,3,AR
14,MdAE,0.6665745973587036,3,AR
15,ACPER,0.01694915254237288,3,AR
16,MAPE,-0.6760756373405457,3,AR
17,RMSE,1.049216628074646,3,AR
18,MSE,1.0007686614990234,4,AR
19,MAE,0.7693688273429871,4,AR
20,MdAE,0.6345404982566833,4,AR
21,ACPER,0.009685230024213076,4,AR
22,MAPE,0.7881873250007629,4,AR
23,RMSE,1.0003842115402222,4,AR
24,MSE,1.0743205547332764,5,AR
25,MAE,0.7641980648040771,5,AR
26,MdAE,0.5923281908035278,5,AR
27,ACPER,0.009696969696969697,5,AR
28,MAPE,1.202046513557434,5,AR
29,RMSE,1.0364943742752075,5,AR
