,metric,value,fold,target
0,MSE,1005.0874633789062,1,AR
1,MAE,23.66795539855957,1,AR
2,MdAE,21.742141723632812,1,AR
3,ACPER,0.05447941888619855,1,AR
4,MAPE,8975.48046875,1,AR
5,RMSE,31.703113555908203,1,AR
6,MSE,1009.2817993164062,2,AR
7,MAE,24.649703979492188,2,AR
8,MdAE,24.54665184020996,2,AR
9,ACPER,0.053268765133171914,2,AR
10,MAPE,13285.3701171875,2,AR
11,RMSE,31.769195556640625,2,AR
12,MSE,894.3152465820312,3,AR
13,MAE,23.572288513183594,3,AR
14,MdAE,22.720184326171875,3,AR
15,ACPER,0.04721549636803874,3,AR
16,MAPE,11604.666015625,3,AR
17,RMSE,29.90510368347168,3,AR
18,MSE,882.8885498046875,4,AR
19,MAE,23.571969985961914,4,AR
20,MdAE,22.71564483642578,4,AR
21,ACPER,0.04721549636803874,4,AR
22,MAPE,147302.84375,4,AR
23,RMSE,29.71343994140625,4,AR
24,MSE,924.1280517578125,5,AR
25,MAE,23.490108489990234,5,AR
26,MdAE,20.844284057617188,5,AR
27,ACPER,0.03878787878787879,5,AR
28,MAPE,9546.056640625,5,AR
29,RMSE,30.39947509765625,5,AR
