,metric,value,fold,target
0,MSE,1173.7789306640625,1,AR
1,MAE,25.08685302734375,1,AR
2,MdAE,18.84234619140625,1,AR
3,ACPER,0.03122730573710966,1,AR
4,MAPE,9479.732421875,1,AR
5,RMSE,34.26045608520508,1,AR
6,MSE,1075.04638671875,2,AR
7,MAE,24.747394561767578,2,AR
8,MdAE,19.687870025634766,2,AR
9,ACPER,0.04433139534883721,2,AR
10,MAPE,22328.380859375,2,AR
11,RMSE,32.787899017333984,2,AR
12,MSE,1032.92236328125,3,AR
13,MAE,24.22516632080078,3,AR
14,MdAE,18.7664794921875,3,AR
15,ACPER,0.040697674418604654,3,AR
16,MAPE,90793.8828125,3,AR
17,RMSE,32.13911056518555,3,AR
