,metric,value,fold,target
0,MSE,984.8212890625,1,AR
1,MAE,24.21562385559082,1,AR
2,MdAE,21.41286849975586,1,AR
3,ACPER,0.04963680387409201,1,AR
4,MAPE,10926.3349609375,1,AR
5,RMSE,31.38186264038086,1,AR
6,MSE,952.8455200195312,2,AR
7,MAE,24.66950035095215,2,AR
8,MdAE,22.479515075683594,2,AR
9,ACPER,0.039951573849878935,2,AR
10,MAPE,71845.109375,2,AR
11,RMSE,30.868196487426758,2,AR
12,MSE,885.756591796875,3,AR
13,MAE,24.766069412231445,3,AR
14,MdAE,22.993511199951172,3,AR
15,ACPER,0.03268765133171913,3,AR
16,MAPE,34136.1796875,3,AR
17,RMSE,29.76166343688965,3,AR
18,MSE,848.3204956054688,4,AR
19,MAE,23.796037673950195,4,AR
20,MdAE,21.23741912841797,4,AR
21,ACPER,0.05690072639225181,4,AR
22,MAPE,160946.078125,4,AR
23,RMSE,29.12594223022461,4,AR
24,MSE,903.430908203125,5,AR
25,MAE,24.08259391784668,5,AR
26,MdAE,20.754640579223633,5,AR
27,ACPER,0.04,5,AR
28,MAPE,72662.1953125,5,AR
29,RMSE,30.057126998901367,5,AR
