,metric,value,fold,target
0,MSE,0.9730551242828369,1,AR
1,MAE,0.7689327001571655,1,AR
2,MdAE,0.6717256307601929,1,AR
3,ACPER,0.0036319612590799033,1,AR
4,MAPE,-0.14740557968616486,1,AR
5,RMSE,0.98643559217453,1,AR
6,MSE,0.9474225640296936,2,AR
7,MAE,0.7956343293190002,2,AR
8,MdAE,0.7492997050285339,2,AR
9,ACPER,0.0,2,AR
10,MAPE,-0.21986597776412964,2,AR
11,RMSE,0.9733563661575317,2,AR
12,MSE,0.8700143098831177,3,AR
13,MAE,0.7718767523765564,3,AR
14,MdAE,0.7124128341674805,3,AR
15,ACPER,0.0012106537530266344,3,AR
16,MAPE,-0.22506022453308105,3,AR
17,RMSE,0.9327455759048462,3,AR
18,MSE,0.8287396430969238,4,AR
19,MAE,0.7376813888549805,4,AR
20,MdAE,0.649973452091217,4,AR
21,ACPER,0.0012106537530266344,4,AR
22,MAPE,0.23582328855991364,4,AR
23,RMSE,0.9103513956069946,4,AR
24,MSE,0.8869292736053467,5,AR
25,MAE,0.7769691348075867,5,AR
26,MdAE,0.7245678901672363,5,AR
27,ACPER,0.007272727272727273,5,AR
28,MAPE,0.04266766086220741,5,AR
29,RMSE,0.9417692422866821,5,AR
