,metric,value,fold,target
0,MSE,0.9915691614151001,1,AR
1,MAE,0.7798439264297485,1,AR
2,MdAE,0.6936710476875305,1,AR
3,ACPER,0.004842615012106538,1,AR
4,MAPE,-0.23268745839595795,1,AR
5,RMSE,0.9957756400108337,1,AR
6,MSE,0.9564866423606873,2,AR
7,MAE,0.7943710684776306,2,AR
8,MdAE,0.7310671806335449,2,AR
9,ACPER,0.002421307506053269,2,AR
10,MAPE,-0.09793044626712799,2,AR
11,RMSE,0.9780013561248779,2,AR
12,MSE,0.8745315074920654,3,AR
13,MAE,0.7664635181427002,3,AR
14,MdAE,0.705851674079895,3,AR
15,ACPER,0.002421307506053269,3,AR
16,MAPE,-0.1747901290655136,3,AR
17,RMSE,0.9351639151573181,3,AR
18,MSE,0.8411219120025635,4,AR
19,MAE,0.7567779421806335,4,AR
20,MdAE,0.6987112760543823,4,AR
21,ACPER,0.0,4,AR
22,MAPE,0.011178430169820786,4,AR
23,RMSE,0.9171270132064819,4,AR
24,MSE,0.8899369835853577,5,AR
25,MAE,0.7634024620056152,5,AR
26,MdAE,0.6612301468849182,5,AR
27,ACPER,0.0012121212121212121,5,AR
28,MAPE,0.14724498987197876,5,AR
29,RMSE,0.9433647394180298,5,AR
