,metric,value,fold,target
0,MSE,1201.158203125,1,AR
1,MAE,25.040979385375977,1,AR
2,MdAE,19.18704605102539,1,AR
3,ACPER,0.031476997578692496,1,AR
4,MAPE,4639.41015625,1,AR
5,RMSE,34.65773010253906,1,AR
6,MSE,1077.20849609375,2,AR
7,MAE,24.476926803588867,2,AR
8,MdAE,19.791465759277344,2,AR
9,ACPER,0.04116222760290557,2,AR
10,MAPE,13448.30859375,2,AR
11,RMSE,32.82085418701172,2,AR
12,MSE,1014.4254760742188,3,AR
13,MAE,24.102157592773438,3,AR
14,MdAE,19.129833221435547,3,AR
15,ACPER,0.04600484261501211,3,AR
16,MAPE,37264.33984375,3,AR
17,RMSE,31.850046157836914,3,AR
18,MSE,922.5679321289062,4,AR
19,MAE,23.583208084106445,4,AR
20,MdAE,19.16148567199707,4,AR
21,ACPER,0.053268765133171914,4,AR
22,MAPE,150179.453125,4,AR
23,RMSE,30.373804092407227,4,AR
24,MSE,1036.82763671875,5,AR
25,MAE,24.101945877075195,5,AR
26,MdAE,18.411884307861328,5,AR
27,ACPER,0.03878787878787879,5,AR
28,MAPE,27982.501953125,5,AR
29,RMSE,32.199806213378906,5,AR
