,metric,value,fold,target
0,MSE,1.013382077217102,1,AR
1,MAE,0.8049147129058838,1,AR
2,MdAE,0.7489075064659119,1,AR
3,ACPER,0.006053268765133172,1,AR
4,MAPE,-0.3215615749359131,1,AR
5,RMSE,1.0066688060760498,1,AR
6,MSE,0.978155791759491,2,AR
7,MAE,0.828443169593811,2,AR
8,MdAE,0.8602280616760254,2,AR
9,ACPER,0.0012106537530266344,2,AR
10,MAPE,-0.20286017656326294,2,AR
11,RMSE,0.9890176057815552,2,AR
12,MSE,0.9738756418228149,3,AR
13,MAE,0.825150728225708,3,AR
14,MdAE,0.8651110529899597,3,AR
15,ACPER,0.0,3,AR
16,MAPE,-0.14114053547382355,3,AR
17,RMSE,0.9868513941764832,3,AR
18,MSE,0.845975935459137,4,AR
19,MAE,0.7618257999420166,4,AR
20,MdAE,0.7032363414764404,4,AR
21,ACPER,0.002421307506053269,4,AR
22,MAPE,0.027775272727012634,4,AR
23,RMSE,0.9197695255279541,4,AR
24,MSE,0.9047693014144897,5,AR
25,MAE,0.7798967361450195,5,AR
26,MdAE,0.7098202705383301,5,AR
27,ACPER,0.0,5,AR
28,MAPE,0.02393294870853424,5,AR
29,RMSE,0.951193630695343,5,AR
