,metric,value,fold,target
0,MSE,1.0209839344024658,1,AR
1,MAE,0.8073686361312866,1,AR
2,MdAE,0.7845336198806763,1,AR
3,ACPER,0.0036319612590799033,1,AR
4,MAPE,-0.312330424785614,1,AR
5,RMSE,1.0104374885559082,1,AR
6,MSE,0.9622052907943726,2,AR
7,MAE,0.820502758026123,2,AR
8,MdAE,0.7995964288711548,2,AR
9,ACPER,0.0,2,AR
10,MAPE,-0.21603673696517944,2,AR
11,RMSE,0.9809206128120422,2,AR
12,MSE,0.8969606757164001,3,AR
13,MAE,0.7839698791503906,3,AR
14,MdAE,0.7480913400650024,3,AR
15,ACPER,0.0,3,AR
16,MAPE,-0.14209945499897003,3,AR
17,RMSE,0.9470800757408142,3,AR
18,MSE,0.9344711303710938,4,AR
19,MAE,0.8155378699302673,4,AR
20,MdAE,0.8768222332000732,4,AR
21,ACPER,0.0,4,AR
22,MAPE,-0.028087809681892395,4,AR
23,RMSE,0.9666804671287537,4,AR
24,MSE,0.8898449540138245,5,AR
25,MAE,0.7761094570159912,5,AR
26,MdAE,0.717261552810669,5,AR
27,ACPER,0.0012121212121212121,5,AR
28,MAPE,-0.07469522953033447,5,AR
29,RMSE,0.9433159232139587,5,AR
