,metric,value,fold,target
0,MSE,0.09227988868951797,1,AR
1,MAE,0.24194706976413727,1,AR
2,MdAE,0.24634790420532227,1,AR
3,ACPER,0.0,1,AR
4,MAPE,-0.5484620332717896,1,AR
5,RMSE,0.3037760555744171,1,AR
6,MSE,0.08793500065803528,2,AR
7,MAE,0.24626511335372925,2,AR
8,MdAE,0.2639247179031372,2,AR
9,ACPER,0.0,2,AR
10,MAPE,-0.6531661152839661,2,AR
11,RMSE,0.2965383529663086,2,AR
12,MSE,0.08355530351400375,3,AR
13,MAE,0.24466536939144135,3,AR
14,MdAE,0.24630847573280334,3,AR
15,ACPER,0.0,3,AR
16,MAPE,-0.5946944355964661,3,AR
17,RMSE,0.2890593409538269,3,AR
18,MSE,0.0799676924943924,4,AR
19,MAE,0.23710118234157562,4,AR
20,MdAE,0.245132714509964,4,AR
21,ACPER,0.0,4,AR
22,MAPE,-0.6171748042106628,4,AR
23,RMSE,0.2827855944633484,4,AR
24,MSE,0.08407076448202133,5,AR
25,MAE,0.24040384590625763,5,AR
26,MdAE,0.24774682521820068,5,AR
27,ACPER,0.0,5,AR
28,MAPE,-0.5400761961936951,5,AR
29,RMSE,0.28994959592819214,5,AR
