SMILES,Fragment,AR,Predicted,Functional Group,Molecular Weight,LogP,Num H Donors,Num H Acceptors
[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C,[4*]CCCCCCCCCCCCCCCCCC,17.3964594670351,33.144596,Other,253.49399999999991,7.215500000000007,0,0
[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C,[5*][N+](C)(C)C,17.3964594670351,33.144596,Other,59.111999999999995,0.15689999999999993,0,0
[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,[4*][C@]1([15*])CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,0.0013008576137469,-1.1830866,Other,284.443,4.979100000000004,0,1
[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,[3*]O[3*],0.0013008576137469,-1.1830866,Other,15.999,-0.0684,0,1
[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,[6*]C(C)=O,0.0013008576137469,-1.1830866,Other,43.045,0.0822,0,1
[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,[1*]C(C)=O,0.0013008576137469,-1.1830866,Other,43.045,0.0822,0,1
[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,[15*]C1([15*])CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,0.0013008576137469,-1.1830866,Other,284.443,4.979100000000004,0,1
[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],[15*][C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)C#C,0.255778150884002,8.431004,Alcohol,283.39099999999996,3.194200000000002,1,2
[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],[8*]CC,0.255778150884002,8.431004,Other,29.061999999999998,0.9739,0,0
[O-][N+](=O)C1=CC(=C(Cl)C(=C1Cl)[N+]([O-])=O)C(F)(F)F,[16*]c1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1Cl,40.0371828284694,49.519863,Amine,235.98999999999998,1.9844,0,4
[O-][N+](=O)C1=CC(=C(Cl)C(=C1Cl)[N+]([O-])=O)C(F)(F)F,[8*]C(F)(F)F,40.0371828284694,49.519863,Alkyl Halide,69.00500000000001,1.0554999999999999,0,0
CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,[16*]c1cc(C)cc([16*])c1O,192.904039721063,52.342934,Aromatic Ring,106.12399999999997,0.04981999999999992,1,1
CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,[8*]C(C)(C)C,192.904039721063,52.342934,Other,57.116,1.7541,0,0
CCC(=C(C1=CC=C(O)C=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,[3*]O[3*],9.44416495700102,37.324314,Other,15.999,-0.0684,0,1
CCC(=C(C1=CC=C(O)C=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,[7*]C([8*])CC,9.44416495700102,37.324314,Other,42.081,1.2409999999999999,0,0
CCC(=C(C1=CC=C(O)C=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,[16*]c1ccc([16*])cc1,9.44416495700102,37.324314,Aromatic Ring,76.098,0.035800000000000054,0,0
CCC(=C(C1=CC=C(O)C=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,[5*]N(C)C,9.44416495700102,37.324314,Amine,44.077,0.012299999999999978,0,1
CCC(=C(C1=CC=C(O)C=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,[4*]CC[4*],9.44416495700102,37.324314,Other,28.053999999999995,0.9216,0,0
CCC(=C(C1=CC=C(O)C=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,[7*]C([8*])[8*],9.44416495700102,37.324314,Other,13.018999999999998,0.3378,0,0
CCC(=C(C1=CC=C(O)C=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,[16*]c1ccc(O)cc1,9.44416495700102,37.324314,Aromatic Ring,93.10499999999998,0.5668,1,1
