,smiles,AR,predicted
0,[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C,-0.654665552055364,0.18194205
1,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,-1.201597526569128,-1.2603996
2,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],-1.1935963481031933,-0.7726316
3,[O-][N+](=O)C1=CC(=C(Cl)C(=C1Cl)[N+]([O-])=O)C(F)(F)F,0.0571954783914908,0.06684369
4,CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,4.863577170864049,0.3706457
5,CCC(=C(C1=CC=C(O)C=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,-0.9046985776773468,-0.07258493
6,CC(C1=CC=C(O)C=C1)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,-0.6222698443318802,-0.09277767
7,CN1CCOCC1,5.001932351833342,-0.371857
8,CC1CC2=C(CC1(C)C(C)=O)C(C)(C)CCC2,4.900933764236413,-0.38192573
9,O=C(NC1=CC=CC=C1SSC1=C(NC(=O)C2=CC=CC=C2)C=CC=C1)C1=CC=CC=C1,4.722275322522517,0.16460687
10,N(C1=CC=CC=C1)C1=C2C=CC=CC2=CC=C1,0.9391989375902936,0.064927876
11,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,-1.1445416969818991,-1.4973161
12,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C[C@]35C)C#N)[C@@H]1CC[C@@H]2O,-0.7939543050388614,-0.78455997
13,CCCCCCCCCCCSCC(O)=O,4.302996585466344,-0.40064013
14,ClC(Cl)=C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,4.583082014591797,-0.26009345
15,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)CC[C@]12C,-1.1364892615783126,-1.110805
16,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,-0.0736116939830864,-0.47758168
17,CCCC[Sn](Cl)(CCCC)CCCC,-1.148024840507652,-0.2050597
