,smiles,AR,predicted
0,[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C,-0.654665552055364,0.20285594
1,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,-1.201597526569128,-0.50822484
2,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],-1.1935963481031933,-0.30775368
3,[O-][N+](=O)C1=CC(=C(Cl)C(=C1Cl)[N+]([O-])=O)C(F)(F)F,0.0571954783914908,0.1293087
4,CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,4.863577170864049,0.21101534
5,CCC(=C(C1=CC=C(O)C=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,-0.9046985776773468,0.19854903
6,CC(C1=CC=C(O)C=C1)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,-0.6222698443318802,0.12350166
7,CN1CCOCC1,5.001932351833342,0.15096998
8,CC1CC2=C(CC1(C)C(C)=O)C(C)(C)CCC2,4.900933764236413,-0.0003811121
9,O=C(NC1=CC=CC=C1SSC1=C(NC(=O)C2=CC=CC=C2)C=CC=C1)C1=CC=CC=C1,4.722275322522517,0.15898633
10,N(C1=CC=CC=C1)C1=C2C=CC=CC2=CC=C1,0.9391989375902936,0.2406019
11,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,-1.1445416969818991,-0.507228
12,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C[C@]35C)C#N)[C@@H]1CC[C@@H]2O,-0.7939543050388614,-0.32243872
13,CCCCCCCCCCCSCC(O)=O,4.302996585466344,0.22906482
14,ClC(Cl)=C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,4.583082014591797,0.11841178
15,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)CC[C@]12C,-1.1364892615783126,-0.37548983
16,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,-0.0736116939830864,-0.4502406
17,CCCC[Sn](Cl)(CCCC)CCCC,-1.148024840507652,0.1857413
18,CC(C)(OOC(C)(C)C1=CC=CC=C1)C1=CC=CC=C1,4.875144116805101,0.2185787
19,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Cl)=O,5.066896456717314,0.14090252
20,CC1=CC2=C3N(CC2)C(=O)[C@H](NC(=O)C2=CC=NC=C2)N=C(C2=CC=CC=C2)C3=C1,5.072229504078599,0.14254928
21,CCCCN(CCCC)C(=O)N(CCCC)CCCC,0.4937029965980022,0.12507439
22,CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,5.05051842753231,0.09447086
23,OCCS(O)(=O)=O.OCCS(O)(=O)=O.NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1,3.830434640564158,0.123419404
24,C[C@]12CC[C@H]3[C@@H](CCC4=CC5=C(C[C@]34C)C=NO5)[C@@H]1CC[C@@]2(O)C#C,-1.1785724916861926,-0.46930385
25,CCN(CC)CCNC1=C2C(=O)C3=C(SC2=C(CNC=O)C=C1)C=CC(OC)=C3,-1.1136520634877085,0.12136626
26,CC1(C)CCC(CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1,5.0060338007416645,0.0044317245
27,NC(=O)CN(CC(F)(F)F)C1=CC(=C(C=C1)C#N)C(F)(F)F,-0.4824954441592509,-0.021366
28,C[C@]12CC[C@H]3[C@@H](CCC4=CC(O)=CC=C34)[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1,-0.6635236571499196,-0.2729677
29,[Na+].COC1=CC2=C(SC(C(=O)NC3=NN=N[N-]3)=C2OC(C)C)C=C1,5.012721583846743,0.14562178
30,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=C(O)C(=O)CC[C@]12C,-1.1754673954836958,-0.32142925
31,ClC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,5.037554631178179,0.1314615
32,NC1=C(N)C=C(Cl)C=C1,1.725383880294678,0.053024888
33,[Na+].CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S([O-])(=O)=O,-0.4444347007862436,0.12109816
34,COC(=O)C1=C(O)C(C)=C(O)C=C1C,-0.7420345323029649,0.15949583
35,OC(=O)C1=C(O)C2=CC=CC=C2C(O)=C1,-0.2182744214459526,0.1793592
36,CCCN(CCOC1=C(Cl)C=C(Cl)C=C1Cl)C(=O)N1C=CN=C1,-0.7001152817476176,0.07070851
37,[Cl-].CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,-1.0461647830408445,0.18873048
38,[Cl-].[Cl-].CCCC[Sn++]CCCC,-0.9021695305558736,0.17280197
39,CCOCN(C(=O)CCl)C1=C(CC)C=CC=C1C,-0.8267379359477574,0.22862732
40,N#CC1=CC=C(C=C1)C(N1C=NC=N1)C1=CC=C(C=C1)C#N,-1.0589720304448875,0.1587789
41,[Cl-].CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,-1.1486388782310066,0.20745265
42,CCOC(=O)C(O)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,-1.1036909935639092,0.21117604
43,OC1=CC2=CC=C(SSC3=CC4=CC=C(O)C=C4C=C3)C=C2C=C1,-0.2553961477309349,0.07920492
44,CSC(=O)C1=CC=CC2=C1SN=N2,-1.1933567711971824,0.17064047
45,COP(=S)(OC)SCN1N=NC2=C(C=CC=C2)C1=O,-0.8651627499649956,0.1580956
46,CNS(=O)(=O)C1=C(F)C=C(Cl)C(=C1)C(=O)N1CCC(CCN2C3CCC2CC(C3)N2C(C)=NC3=C2C=CC=C3)(CC1)C1=CC(F)=CC=C1,-1.0501617789822966,0.000121831894
47,CC(=O)O[C@]1(C(C)=O)C(=C)C[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-1.198145715554548,-0.35611916
48,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@@]21[H])C=C(O)C=C3,-0.922581448621317,-0.21401191
49,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,-1.200010865153074,-0.35018826
50,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,-0.9485399466819524,-0.058279395
51,CCOC(=O)\C=C/C(=O)OCC,-1.0879073716826422,0.20436239
52,CCC(C)(C)C1CCC(O)CC1,-0.3156169517611233,0.07374501
53,CC(C)(O)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,-1.20062804241348,0.17636704
54,Cl.Cl.CC1=C(N)C=CC(=C1)C1=CC(C)=C(N)C=C1,-1.189167215463242,0.022164702
55,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,-1.1977088627345065,-0.50822484
56,OC(=O)C1=CC(=CC=C1)N(CC1=CN=CC=C1)C1=CC=C(OC(F)F)C(OC(F)F)=C1,-1.1703254479600134,0.069491506
57,[Na+].[Na+].CC1=CC=C(C=C1)S(=O)(=O)OC1=CC=C(C=C1)N=NC1=C(C)C=C(C=C1)C1=CC=C(N=NC2=C(O)C=CC3=CC(=CC(=C23)S([O-])(=O)=O)S([O-])(=O)=O)C(C)=C1,-1.144382136347727,0.027301788
58,[Ca++].CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1.CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1,-0.972689018413037,0.22896802
59,Cl.CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2,-0.9449849514733942,0.1668005
60,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,-1.1986464807382806,-0.026865482
61,CC(C)C1CCC(CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1,-1.0933366699585167,0.03090334
62,CCCC[Sn](CCCC)(CCCC)OC(=O)C(C)=C,-1.018668457177272,0.18211699
63,OC1=CC2=C(CC3=CC=CC=C23)C=C1,-1.118116087474014,0.13918173
64,[K+].CCC1=CC(=CC2=C1OCO2)C1=C(N(C2=CC=CC=C2C(F)(F)F)S(=O)(=O)C2=C1C=CC=C2)C([O-])=O,-0.4794164130045883,0.025232911
65,CCC(=O)NC1=CC=C(Cl)C(Cl)=C1,-1.14345557752979,0.18507433
66,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,-1.1468044480017656,-0.5378847
67,CCCC[Sn](Cl)(Cl)Cl,-0.4437340944697774,0.17966461
68,[Na+].[Na+].CCN(CC1=CC(=CC=C1)S([O-])(=O)=O)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](CC)CC1=CC(=CC=C1)S([O-])(=O)=O)C1=C(C=C(O)C=C1)S([O-])(=O)=O,-0.9679634601385024,0.1221385
69,FC(F)C(F)(F)OCC(CN1C=NC=N1)C1=C(Cl)C=C(Cl)C=C1,-1.0246315628039409,0.1409111
70,CCC1=CC=CC(CC)=C1N(COC)C(=O)CCl,-0.1397842994561806,0.19338048
71,OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)(C(F)(F)F)C(F)(F)F,-0.4761429090607978,0.092850804
