,0
0,0.40110314
1,-0.12731755
2,0.6621327
3,0.609657
4,0.72796386
5,0.66270596
6,0.608216
7,0.66258854
8,0.651245
9,0.6637479
10,0.6884456
11,0.6520027
12,0.6318161
13,0.6397764
14,0.45362207
15,0.08852486
16,0.6022768
17,0.59133834
18,0.5242154
19,0.59714794
20,0.47884244
21,0.3778194
22,0.60609764
23,0.49718228
24,0.60427225
25,0.71797055
26,0.58304876
27,0.6596364
28,0.6975302
29,0.5987854
30,0.58992165
31,0.5942117
32,0.6573805
33,0.47451374
34,0.646527
35,0.5614166
36,0.56454366
37,0.6483353
38,0.69127774
39,0.6830336
40,0.67877686
41,0.59607
42,0.6757513
43,0.6547727
44,0.61651045
45,0.422189
46,0.49565297
47,0.5716761
48,0.6463893
49,0.7188945
50,0.62744355
51,0.60253835
52,0.7011834
53,0.6483353
54,0.6112665
55,0.5909126
56,0.63972825
57,0.67687476
58,0.70859766
59,0.59332967
60,0.7254954
61,0.6073681
62,0.629622
63,0.6446743
64,0.62210345
65,-0.06634762
66,0.34354427
67,0.5189393
68,0.7082536
69,0.6797839
70,0.615139
71,0.46102098
72,0.634345
73,0.61829144
74,0.65318817
75,0.7098483
76,0.6240991
77,0.68349814
78,0.64635545
79,0.38741755
80,0.6311127
81,0.57376254
82,0.6119239
83,0.17124388
84,0.1932339
85,0.590395
86,0.4856022
87,0.6753957
88,0.5965529
89,0.62230223
90,0.6145502
91,0.66976476
92,0.702849
93,0.69427663
94,0.7061287
95,0.632142
96,0.6620235
97,0.6045926
98,0.6240465
99,0.69911295
100,0.6260586
101,0.6257565
102,0.30226797
103,0.7246412
104,0.6406091
105,0.6840038
106,0.59430224
107,0.5756197
108,0.66695964
109,0.1720962
110,0.66261876
111,0.6875793
112,0.60156703
113,0.61065334
114,0.6483353
115,0.67605615
116,0.62987894
117,0.6263948
118,0.34433872
119,0.31065333
120,0.66217273
121,0.39836848
122,0.5883496
123,0.67156327
124,0.48445728
125,0.71037716
126,0.5875735
127,0.5915247
128,0.70181423
129,0.6896332
130,0.67584175
131,0.6483353
132,0.54978985
133,0.72364986
134,0.62077296
135,0.65693086
