,metric,value,fold,target
0,MSE,0.014258836396038532,1,AR
1,MAE,0.08328989893198013,1,AR
2,MdAE,0.057965606451034546,1,AR
3,ACPER,0.2796296296296296,1,AR
4,MAPE,0.338214248418808,1,AR
5,RMSE,0.11941037327051163,1,AR
6,MSE,0.018600134178996086,2,AR
7,MAE,0.08262144029140472,2,AR
8,MdAE,0.053495824337005615,2,AR
9,ACPER,0.32037037037037036,2,AR
10,MAPE,0.20040786266326904,2,AR
11,RMSE,0.1363823115825653,2,AR
12,MSE,0.016164477914571762,3,AR
13,MAE,0.08594757318496704,3,AR
14,MdAE,0.0619778037071228,3,AR
15,ACPER,0.24814814814814815,3,AR
16,MAPE,0.16120406985282898,3,AR
17,RMSE,0.1271395981311798,3,AR
18,MSE,0.01654193177819252,4,AR
19,MAE,0.07731417566537857,4,AR
20,MdAE,0.05242621898651123,4,AR
21,ACPER,0.3450834879406308,4,AR
22,MAPE,0.15715403854846954,4,AR
23,RMSE,0.12861543893814087,4,AR
24,MSE,0.01272951066493988,5,AR
25,MAE,0.07795578986406326,5,AR
26,MdAE,0.053744494915008545,5,AR
27,ACPER,0.3042671614100185,5,AR
28,MAPE,0.0946393683552742,5,AR
29,RMSE,0.11282513290643692,5,AR
