,metric,value,fold,target
0,MSE,0.02825908549129963,1,AR
1,MAE,0.11471287906169891,1,AR
2,MdAE,0.07067235559225082,1,AR
3,ACPER,0.021702838063439065,1,AR
4,MAPE,19639.22265625,1,AR
5,RMSE,0.1681043952703476,1,AR
6,MSE,0.030199741944670677,2,AR
7,MAE,0.11621445417404175,2,AR
8,MdAE,0.06221996247768402,2,AR
9,ACPER,0.015859766277128547,2,AR
10,MAPE,9758.4716796875,2,AR
11,RMSE,0.17378072440624237,2,AR
12,MSE,0.02941174805164337,3,AR
13,MAE,0.11148639023303986,3,AR
14,MdAE,0.06621727347373962,3,AR
15,ACPER,0.01335559265442404,3,AR
16,MAPE,11120.548828125,3,AR
17,RMSE,0.17149853706359863,3,AR
18,MSE,0.028660962358117104,4,AR
19,MAE,0.11361217498779297,4,AR
20,MdAE,0.06507809460163116,4,AR
21,ACPER,0.020885547201336674,4,AR
22,MAPE,inf,4,AR
23,RMSE,0.16929548978805542,4,AR
24,MSE,0.031050048768520355,5,AR
25,MAE,0.11948185414075851,5,AR
26,MdAE,0.07571794092655182,5,AR
27,ACPER,0.018379281537176273,5,AR
28,MAPE,16143.7763671875,5,AR
29,RMSE,0.17621023952960968,5,AR
