,metric,value,fold,target
0,MSE,763.5160522460938,1,AR
1,MAE,19.246627807617188,1,AR
2,MdAE,13.687642097473145,1,AR
3,ACPER,0.022537562604340568,1,AR
4,MAPE,9496.376953125,1,AR
5,RMSE,27.631793975830078,1,AR
6,MSE,669.2623291015625,2,AR
7,MAE,18.25409698486328,2,AR
8,MdAE,13.181524276733398,2,AR
9,ACPER,0.028380634390651086,2,AR
10,MAPE,17151.68359375,2,AR
11,RMSE,25.870105743408203,2,AR
12,MSE,723.9951782226562,3,AR
13,MAE,18.537067413330078,3,AR
14,MdAE,12.513639450073242,3,AR
15,ACPER,0.015859766277128547,3,AR
16,MAPE,22318.654296875,3,AR
17,RMSE,26.90715789794922,3,AR
18,MSE,712.7769165039062,4,AR
19,MAE,18.537458419799805,4,AR
20,MdAE,12.554195404052734,4,AR
21,ACPER,0.027545909849749584,4,AR
22,MAPE,103910.875,4,AR
23,RMSE,26.6978816986084,4,AR
24,MSE,773.8429565429688,5,AR
25,MAE,19.44049072265625,5,AR
26,MdAE,13.507448196411133,5,AR
27,ACPER,0.02587646076794658,5,AR
28,MAPE,20201.662109375,5,AR
29,RMSE,27.81803321838379,5,AR
