,metric,value,fold,target
0,MSE,0.026893354952335358,1,AR
1,MAE,0.11406800895929337,1,AR
2,MdAE,0.07661701738834381,1,AR
3,ACPER,0.020868113522537562,1,AR
4,MAPE,14648.6357421875,1,AR
5,RMSE,0.16399194300174713,1,AR
6,MSE,0.02736630104482174,2,AR
7,MAE,0.11656159907579422,2,AR
8,MdAE,0.08091120421886444,2,AR
9,ACPER,0.02003338898163606,2,AR
10,MAPE,7013.8388671875,2,AR
11,RMSE,0.16542762517929077,2,AR
12,MSE,0.024956809356808662,3,AR
13,MAE,0.10906406491994858,3,AR
14,MdAE,0.07348307222127914,3,AR
15,ACPER,0.019198664440734557,3,AR
16,MAPE,32179.205078125,3,AR
17,RMSE,0.15797723829746246,3,AR
18,MSE,0.026070820167660713,4,AR
19,MAE,0.11379478126764297,4,AR
20,MdAE,0.07989738881587982,4,AR
21,ACPER,0.017543859649122806,4,AR
22,MAPE,inf,4,AR
23,RMSE,0.1614646166563034,4,AR
24,MSE,0.030423453077673912,5,AR
25,MAE,0.12045785039663315,5,AR
26,MdAE,0.08127833902835846,5,AR
27,ACPER,0.01670843776106934,5,AR
28,MAPE,21649.009765625,5,AR
29,RMSE,0.1744232028722763,5,AR
