,metric,value,fold,target
0,MSE,785.208984375,1,AR
1,MAE,18.70524787902832,1,AR
2,MdAE,10.631114959716797,1,AR
3,ACPER,0.015859766277128547,1,AR
4,MAPE,26712.78515625,1,AR
5,RMSE,28.02157974243164,1,AR
6,MSE,849.0189819335938,2,AR
7,MAE,18.83978843688965,2,AR
8,MdAE,8.454002380371094,2,AR
9,ACPER,0.015859766277128547,2,AR
10,MAPE,15975.5625,2,AR
11,RMSE,29.137929916381836,2,AR
12,MSE,759.3992309570312,3,AR
13,MAE,18.13128662109375,3,AR
14,MdAE,9.327131271362305,3,AR
15,ACPER,0.017529215358931552,3,AR
16,MAPE,22550.037109375,3,AR
17,RMSE,27.557199478149414,3,AR
18,MSE,781.6005859375,4,AR
19,MAE,18.623371124267578,4,AR
20,MdAE,9.717575073242188,4,AR
21,ACPER,0.020050125313283207,4,AR
22,MAPE,50968.46484375,4,AR
23,RMSE,27.957120895385742,4,AR
24,MSE,921.5314331054688,5,AR
25,MAE,20.013294219970703,5,AR
26,MdAE,10.633260726928711,5,AR
27,ACPER,0.020885547201336674,5,AR
28,MAPE,25580.41015625,5,AR
29,RMSE,30.35673713684082,5,AR
