,metric,value,fold,target
0,MSE,0.09161803871393204,1,AR
1,MAE,0.24475930631160736,1,AR
2,MdAE,0.2523380517959595,1,AR
3,ACPER,0.0,1,AR
4,MAPE,-0.5679465532302856,1,AR
5,RMSE,0.3026847243309021,1,AR
6,MSE,0.08255624026060104,2,AR
7,MAE,0.24141062796115875,2,AR
8,MdAE,0.2568688988685608,2,AR
9,ACPER,0.0,2,AR
10,MAPE,-0.6395296454429626,2,AR
11,RMSE,0.28732600808143616,2,AR
12,MSE,0.08194300532341003,3,AR
13,MAE,0.23952560126781464,3,AR
14,MdAE,0.25252994894981384,3,AR
15,ACPER,0.0,3,AR
16,MAPE,-0.5569072961807251,3,AR
17,RMSE,0.2862568795681,3,AR
